,2017 Pop,2017 Unmarried Women,High School Graduate,Unemployment,Percent Under the Poverty lavel,Mean Income,Sex Ratio,Mean Age,zip code tabulation area
4882,15119,49.1,37.0,2.5,7.1,76054,90.0,48.8,16648
4883,12846,25.0,20.4,2.8,2.6,117867,89.9,50.7,15668
4884,1950,0.0,50.6,11.3,11.6,62297,106.8,51.2,16374
4885,15749,63.6,40.7,7.2,19.4,51701,96.3,37.4,16504
4886,245,54.5,45.0,0.7,6.9,64412,102.5,40.8,16024
4887,5391,34.0,48.7,5.8,8.4,84718,98.1,45.8,16025
4888,3711,23.8,49.2,7.3,9.9,67748,102.1,41.6,16038
4889,4583,61.5,36.2,6.1,3.0,87674,108.9,47.5,16053
4890,29973,1.9,16.7,3.1,3.4,124521,99.4,40.1,16066
4891,33113,72.2,47.8,8.0,19.6,52579,90.2,45.1,16101
4892,15203,7.0,34.9,3.6,6.6,86479,92.6,46.5,16105
4893,2021,0.0,44.3,9.3,6.3,72527,100.7,45.8,16123
4894,3887,35.2,42.9,5.5,16.1,55684,103.0,50.1,16134
4895,27,-666666666.0,74.1,0.0,25.9,-999999999,58.8,69.7,16140
4896,2589,21.4,48.8,5.9,12.5,65702,92.2,45.4,16145
4897,2949,34.3,52.4,8.4,9.3,59779,94.3,48.4,16157
4898,755,-666666666.0,47.8,1.2,17.5,37783,82.8,52.6,16161
4899,464,40.0,41.9,5.5,15.3,70279,71.2,39.6,16238
4900,4472,40.7,47.3,6.9,13.6,56178,92.1,45.8,16242
4901,1781,11.1,53.1,6.4,13.7,59945,103.8,43.3,16255
4902,48,-666666666.0,66.7,0.0,0.0,38913,200.0,23.7,16332
4903,3128,16.7,47.9,7.2,13.6,52661,93.3,49.6,16371
4904,6719,35.6,41.0,6.3,13.2,68656,81.2,43.1,16403
4905,3176,0.0,51.1,5.7,15.2,60728,97.1,43.4,16406
4906,9753,0.0,28.8,2.4,6.5,109559,94.1,41.1,16415
4907,4388,66.7,46.2,7.6,13.7,64891,89.3,41.4,16423
4908,1861,33.3,50.3,5.4,18.4,64413,88.9,43.1,16435
4909,2638,14.7,50.3,5.0,12.2,59253,98.2,47.8,16611
4910,121,-666666666.0,53.3,0.0,14.0,37939,128.3,34.6,16616
4911,548,33.3,52.3,6.8,16.2,58634,80.3,43.9,16623
4912,2160,100.0,53.2,10.4,11.2,61253,93.9,43.4,16627
4913,340,42.9,56.6,2.9,7.1,52416,100.0,43.6,16634
4914,811,0.0,55.6,6.0,11.3,60831,95.4,42.8,16640
4915,160,-666666666.0,50.7,1.1,11.9,66485,100.0,54.5,16645
4916,425,-666666666.0,42.1,8.5,8.9,58348,105.3,50.6,16680
4917,39,-666666666.0,71.8,0.0,0.0,30514,95.0,50.8,16682
4918,213,-666666666.0,52.9,10.3,22.1,81606,150.6,46.4,16727
4919,1262,-666666666.0,53.0,6.0,13.4,48722,110.0,49.1,16746
4920,4662,0.0,11.1,1.5,7.0,104206,96.9,43.8,16827
4921,662,0.0,51.2,2.5,16.8,106937,122.9,27.6,16832
4922,884,33.3,54.0,5.3,8.5,58500,132.6,37.9,16845
4923,166,0.0,61.5,0.0,11.4,35489,133.8,31.3,16853
4924,2125,0.0,46.4,4.3,10.8,69065,92.7,45.7,16914
4925,6942,19.7,30.8,4.5,15.6,75395,93.5,30.0,16142
4926,872,0.0,53.6,3.5,7.3,76600,109.6,44.2,16131
4927,1611,33.3,52.7,5.1,12.7,72653,91.1,42.8,16133
4928,684,0.0,46.3,2.8,4.5,56031,81.4,41.1,16136
4929,2863,0.0,43.5,3.5,12.5,67938,100.8,46.9,16156
4930,17608,62.4,45.9,7.0,12.2,62245,97.0,47.4,16201
4931,167,100.0,64.7,5.2,9.0,45660,60.6,31.8,16223
4932,1276,0.0,47.6,5.2,10.0,56969,91.3,41.1,16224
4933,539,0.0,57.1,3.5,19.5,55078,91.8,43.3,16228
4934,1126,100.0,43.7,15.6,7.5,74900,105.9,53.5,16233
4935,1211,26.7,49.6,3.4,7.0,67214,105.6,46.7,16235
4936,225,-666666666.0,53.0,2.5,9.4,60890,106.4,46.0,16246
4937,3243,34.4,43.7,2.8,10.5,64540,92.1,45.7,16254
4938,1875,6.3,46.2,1.6,11.1,54667,86.8,41.2,16258
4939,1870,33.3,60.3,7.9,9.3,56980,112.0,48.3,16259
4940,15954,55.0,46.4,8.9,17.5,59108,97.1,42.8,16301
4941,1257,66.7,57.0,1.5,4.8,64320,102.1,50.1,16317
4942,314,75.0,46.9,11.8,15.3,47243,97.5,48.0,16333
4943,1243,0.0,52.4,2.3,14.1,70097,102.1,42.1,16364
4944,168,0.0,60.9,8.6,21.4,53473,80.6,32.5,16427
4945,10168,0.0,48.8,3.1,9.2,76403,110.3,43.3,16441
4946,2886,29.2,46.5,6.9,9.7,73048,102.4,43.2,16442
4947,11718,70.5,39.6,6.5,13.6,62790,80.8,41.2,16511
4948,28998,47.0,45.0,4.9,20.3,55535,93.6,41.3,16602
4949,198,-666666666.0,67.5,4.7,4.0,68695,110.6,50.0,16622
4950,707,0.0,48.8,2.6,3.4,68544,99.2,53.5,16647
4951,1053,0.0,59.9,9.3,9.7,55614,106.9,47.7,16836
4952,2410,25.0,48.6,3.6,8.0,62568,105.3,50.1,16153
4953,352,-666666666.0,48.6,0.0,6.0,39869,153.2,46.3,16132
4954,13505,37.1,42.1,10.7,25.2,45785,86.1,39.5,16146
4955,7004,8.8,42.8,6.3,10.9,60212,93.7,43.5,16150
4956,948,100.0,50.2,9.0,9.5,64740,99.2,40.1,16210
4957,121,-666666666.0,65.2,2.2,22.3,47504,92.1,39.9,16213
4958,7705,25.3,48.1,6.6,12.5,52949,87.2,48.3,16226
4959,5118,0.0,38.9,6.0,10.0,74245,104.6,42.4,16229
4960,420,0.0,57.0,11.2,11.2,50769,73.6,37.3,16230
4961,4167,21.7,48.3,5.6,11.4,58624,91.9,39.9,16232
4962,1326,14.3,60.3,4.9,13.7,53025,112.8,47.1,16240
4963,284,0.0,45.5,0.0,0.0,61816,84.4,38.7,16244
4964,2793,8.9,46.6,4.8,8.4,69786,93.7,46.4,16262
4965,5401,0.0,40.6,5.9,8.5,69222,86.8,48.3,16316
4966,1300,100.0,64.5,2.7,5.1,69926,100.6,45.1,16319
4967,69,-666666666.0,53.5,0.0,0.0,69139,102.9,47.4,16331
4968,381,-666666666.0,57.4,8.1,11.0,56259,93.4,45.6,16334
4969,1744,20.0,53.4,5.4,10.9,59764,113.2,49.6,16340
4970,3396,0.0,41.1,1.5,3.4,95603,107.5,50.1,16345
4971,3255,28.0,51.0,4.8,12.4,57242,121.4,46.5,16346
4972,2793,33.7,51.8,6.7,23.1,53484,101.2,34.8,16350
4973,1422,10.0,54.5,5.7,9.5,59797,102.3,45.5,16360
4974,498,0.0,58.9,11.6,17.6,54072,94.5,37.3,16372
4975,6758,78.9,56.0,5.6,13.1,57281,206.9,41.5,16401
4976,782,60.0,50.5,14.3,12.4,50140,109.7,46.9,16405
4977,184,100.0,72.3,26.1,29.3,45974,104.4,25.8,16416
4978,329,-666666666.0,33.2,0.0,25.2,40304,105.6,37.9,16422
4979,25799,36.0,39.2,8.7,18.0,66411,100.2,39.4,16510
4980,7863,31.7,49.2,6.4,12.0,60790,98.2,42.9,16438
4981,24169,20.8,31.5,5.6,8.0,81538,90.7,42.5,16506
4982,16561,47.9,39.7,4.5,15.9,59131,89.7,36.8,16508
4983,12144,0.0,48.8,3.5,8.4,64956,94.4,49.1,16635
4984,1550,0.0,48.9,4.9,13.5,52126,108.9,44.7,16923
4985,225,-666666666.0,60.4,27.6,52.0,20984,26.4,65.8,16855
4986,3827,0.0,54.3,7.4,22.7,58103,86.9,43.9,16858
4987,641,0.0,55.8,18.4,22.3,52189,69.1,42.0,16863
4988,914,12.0,46.8,0.2,3.4,68971,97.0,47.8,16926
4989,6043,27.9,43.5,5.6,9.4,62211,104.9,44.9,16915
4990,3525,47.1,48.8,6.0,18.9,62788,110.8,41.7,16925
4991,1282,28.6,49.8,6.2,8.7,55957,97.2,42.8,16928
4992,781,0.0,47.6,1.2,1.3,69852,108.3,36.8,16932
4993,1380,30.0,43.6,5.1,9.2,62255,93.8,44.4,16935
4994,93,0.0,54.3,5.3,24.7,43851,121.4,49.1,16941
4995,3147,53.8,56.5,8.4,15.5,54223,109.0,45.0,16666
4996,4999,55.3,43.6,6.1,12.0,64294,88.9,46.0,16947
4997,367,100.0,48.7,1.5,14.2,62862,118.5,51.7,16683
4998,4540,22.0,42.2,7.4,11.6,59526,78.5,40.2,16630
4999,842,20.0,67.8,10.3,15.0,42291,85.9,46.7,16679
5000,285,23.1,49.2,8.8,21.1,53415,117.6,49.5,16691
5001,96,-666666666.0,58.9,0.0,0.0,45164,95.9,54.5,16724
5002,66,-666666666.0,50.8,0.0,0.0,43300,65.0,61.6,16730
5003,3786,50.0,48.0,8.2,15.1,61451,98.3,46.2,16743
5004,4000,61.8,46.8,6.4,12.7,60586,97.2,49.6,16749
5005,25366,26.4,15.1,3.1,24.6,81174,110.2,28.2,16803
5006,99,-666666666.0,60.5,3.9,3.0,82157,106.3,51.3,16035
5007,854,66.7,48.8,7.9,10.0,57822,105.8,48.0,16040
5008,2366,35.7,48.3,6.8,10.4,65443,111.8,50.0,16061
5009,366,-666666666.0,62.1,2.4,3.0,71264,120.5,48.9,16110
5010,662,0.0,61.6,4.1,7.7,63380,100.0,44.6,16114
5011,516,-666666666.0,45.4,5.0,3.5,67664,98.5,34.5,16840
5012,396,-666666666.0,36.9,9.9,3.5,70909,115.2,55.8,16849
5013,334,0.0,59.4,2.5,8.1,99907,110.1,44.9,16852
5014,321,0.0,62.3,3.2,14.7,53003,105.8,46.7,16876
5015,434,-666666666.0,75.7,7.0,5.5,52618,83.9,46.8,16879
5016,473,100.0,52.4,3.3,18.6,50510,123.1,53.3,16921
5017,1926,73.9,47.4,6.8,17.8,51066,87.5,47.6,16922
5018,7164,69.2,39.3,5.7,15.8,62220,90.0,40.0,16933
5019,217,0.0,51.0,2.4,19.8,53103,119.2,41.4,16937
5020,331,0.0,56.9,0.6,10.6,58190,101.8,34.0,16939
5021,466,0.0,50.7,8.7,14.6,50338,129.6,54.9,16943
5022,2487,48.5,43.0,9.3,13.0,53068,97.7,44.0,16946
5023,362,-666666666.0,85.6,17.8,42.3,37238,118.1,23.5,16825
5024,697,0.0,60.5,2.4,10.2,57722,114.5,43.5,16829
5025,438,-666666666.0,51.6,13.0,17.1,32879,148.9,61.7,16843
5026,1496,35.7,44.0,0.8,17.6,57170,107.8,38.3,16111
5027,84,0.0,77.0,7.4,17.9,43359,147.1,57.1,16253
5028,514,-666666666.0,42.2,3.6,6.6,81651,84.2,42.5,16113
5029,61,-666666666.0,48.2,5.9,0.0,44109,134.6,64.8,16217
5030,260,100.0,50.5,0.0,0.0,117593,75.7,60.2,16744
5031,11716,-666666666.0,26.9,11.7,15.2,-999999999,88.7,19.2,16802
5032,528,100.0,55.4,3.0,4.4,53015,105.4,47.7,16329
5033,1131,88.9,54.7,9.5,11.8,64519,93.0,49.1,16362
5034,3246,59.0,43.3,5.5,11.2,65042,106.0,44.6,16373
5035,3627,19.2,51.9,7.1,15.6,54718,102.4,37.8,16404
5036,7849,65.1,41.2,3.7,14.1,67130,90.1,44.6,16417
5037,15491,66.9,45.3,10.7,30.7,41653,101.7,34.3,16502
5038,9558,65.9,42.8,12.4,30.8,39692,98.3,32.2,16507
5039,27399,15.6,36.0,3.1,8.7,74941,94.3,43.2,16509
5040,336,-666666666.0,60.4,20.7,15.1,48725,115.4,41.8,16619
5041,2495,41.5,53.4,2.4,17.9,56999,100.7,39.8,16641
5042,348,0.0,52.9,3.0,26.8,64075,92.3,35.3,16665
5043,1427,12.5,62.6,5.6,7.8,54318,110.5,39.2,16667
5044,3361,31.0,53.2,7.5,10.1,55175,99.5,48.8,16668
5045,742,76.9,42.6,7.3,14.6,48782,98.9,43.6,16674
5046,2569,63.2,47.3,6.8,13.9,51555,84.6,44.8,16678
5047,243,0.0,56.3,6.0,21.0,45928,71.1,42.3,16733
5048,263,-666666666.0,66.0,14.8,13.3,49108,100.8,46.9,16734
5049,987,0.0,52.5,2.3,19.6,62700,92.8,42.9,16820
5050,5305,0.0,50.5,12.2,15.2,53020,97.4,47.5,16833
5051,188,-666666666.0,50.6,5.5,6.9,72547,86.1,56.6,16834
5052,851,0.0,2.2,2.5,0.0,111573,117.1,42.0,16851
5053,4445,18.3,42.9,4.5,12.7,80679,120.7,42.1,16875
5054,408,0.0,38.4,2.0,14.0,58705,113.6,34.0,16882
5055,10069,24.6,41.7,5.9,11.1,68621,95.5,45.9,16901
5056,404,-666666666.0,42.3,1.9,12.4,75038,103.0,46.7,16911
5057,2416,56.0,44.0,5.6,13.8,67779,101.2,45.4,16929
5058,15255,7.1,39.6,3.8,7.1,82099,102.0,46.1,16002
5059,4463,0.0,47.6,5.3,12.6,57746,85.4,50.1,16023
5060,2001,0.0,53.3,5.9,13.2,57811,101.9,41.8,16041
5061,2918,38.1,51.3,5.8,9.9,62226,101.7,46.6,16049
5062,8249,23.9,37.5,3.6,3.9,92270,97.9,47.3,16055
5063,4254,23.1,40.0,3.0,5.0,70884,82.4,52.8,16056
5064,2971,100.0,49.0,4.6,6.5,67636,93.2,49.6,16115
5065,2031,55.0,39.1,4.8,12.0,59705,104.9,46.5,16120
5066,2112,45.0,58.5,5.5,10.7,56002,100.2,49.1,16130
5067,16304,12.4,38.1,5.4,8.3,71192,92.8,49.4,16148
5068,9679,74.4,34.9,7.6,33.3,49674,90.4,28.8,16214
5069,2544,31.8,48.8,6.2,25.4,60060,113.6,38.5,16222
5070,292,-666666666.0,35.1,3.5,10.6,68955,94.7,44.1,16260
5071,5378,8.1,49.7,4.0,6.8,64531,96.2,43.9,16314
5072,1886,60.0,51.8,7.4,13.8,56238,94.2,50.1,16341
5073,2558,53.7,49.4,7.8,21.9,46563,112.1,55.4,16353
5074,11027,49.5,48.3,3.6,17.1,55002,89.5,42.3,16407
5075,1677,66.7,60.6,5.7,11.5,66738,93.6,42.5,16410
5076,635,50.0,53.4,16.3,17.0,49257,125.2,41.0,16420
5077,2543,16.1,44.7,7.3,13.6,69951,99.8,45.2,16421
5078,5190,22.7,45.0,3.3,8.8,67009,100.6,43.9,16433
5079,3132,5.6,40.0,4.9,19.7,57684,108.2,26.9,16434
5080,1388,33.3,51.7,4.5,6.2,65753,88.3,46.8,16613
5081,287,0.0,46.0,4.5,14.0,49101,90.1,45.4,16620
5082,1819,35.7,53.8,6.9,18.1,57120,111.3,46.4,16650
5083,266,-666666666.0,80.4,0.0,8.6,48269,67.3,61.2,16677
5084,167,-666666666.0,58.7,5.0,13.1,47191,74.0,49.0,16694
5085,697,0.0,43.1,13.6,18.8,61866,145.4,37.1,16726
5086,39311,40.0,37.5,5.2,14.6,64159,94.3,45.7,16001
5087,373,0.0,54.7,10.0,13.8,54857,81.1,40.8,16022
5088,284,-666666666.0,47.6,1.4,6.0,77095,94.5,43.3,16027
5089,2501,18.2,40.9,7.0,11.0,70576,110.9,47.1,16052
5090,356,0.0,46.9,5.4,8.4,51998,100.0,47.3,16054
5091,574,0.0,42.0,4.7,12.9,58001,88.2,40.4,16671
5092,5782,6.7,53.6,5.6,14.6,54377,244.6,40.6,16651
5093,5930,16.1,47.4,3.6,8.2,65315,92.8,46.5,16662
5094,1987,0.0,47.9,6.0,11.6,64463,99.1,41.9,16664
5095,5385,48.6,50.9,3.9,9.3,64067,94.0,41.5,16673
5096,416,-666666666.0,50.3,9.4,15.6,51311,96.2,55.7,16689
5097,4373,36.5,48.4,5.3,15.7,62330,107.8,40.2,16693
5098,1169,11.1,43.8,2.7,11.7,58643,95.8,41.3,16695
5099,17508,53.6,45.1,8.0,22.3,59969,100.9,39.7,16701
5100,1095,62.5,55.8,4.4,16.3,54156,100.9,38.7,16740
5101,14451,41.6,33.7,7.4,21.2,61356,90.0,23.7,16057
5102,7797,39.7,30.4,1.8,2.5,97509,100.1,48.4,16059
5103,15922,12.7,16.2,3.2,1.8,140982,104.5,38.1,16046
5104,2793,0.0,47.9,6.8,9.0,60426,94.1,47.1,16051
5105,6596,50.0,29.2,3.8,5.3,74766,82.1,50.0,16063
5106,1171,50.0,53.1,3.2,10.3,62150,107.3,41.4,16020
5107,164,-666666666.0,34.3,4.2,4.9,52990,90.7,59.5,16036
5108,2752,71.4,48.0,4.6,7.5,71412,97.6,46.4,16844
5109,503,40.0,61.4,1.8,5.8,63284,109.6,49.2,16859
5110,2009,0.0,23.1,3.9,8.2,87577,94.3,37.5,16865
5111,428,0.0,43.8,18.2,13.6,48450,100.9,42.8,16343
5112,10999,43.2,47.9,7.2,19.3,53648,94.7,41.5,16354
5113,3011,10.5,50.8,5.7,10.4,67574,99.5,46.1,16327
5114,2242,46.7,50.2,7.4,18.7,60287,110.1,48.7,16342
5115,33,-666666666.0,0.0,0.0,0.0,58473,83.3,75.6,16361
5116,18060,40.2,41.9,5.0,11.7,61548,90.4,46.1,16365
5117,10540,0.0,25.7,6.6,16.7,70664,96.1,36.0,16412
5118,4650,47.8,51.2,4.3,10.4,63615,104.7,49.6,16424
5119,12755,31.6,39.2,7.4,11.1,72715,103.0,40.9,16428
5120,16959,60.0,45.0,14.7,42.5,32067,102.0,29.0,16503
5121,2793,0.0,39.5,5.5,7.1,68458,118.9,33.7,16617
5122,699,0.0,56.6,10.3,11.0,59138,94.2,46.9,16621
5123,212,0.0,50.4,2.2,15.6,65464,120.8,30.0,16624
5124,3718,75.6,53.0,4.1,17.8,47833,82.7,44.2,16625
5125,101,-666666666.0,41.0,11.7,13.9,69455,215.6,41.1,16631
5126,1418,0.0,61.7,9.6,14.0,52086,113.2,46.2,16639
5127,2371,6.3,48.7,3.0,12.1,59260,92.9,46.5,16646
5128,1301,100.0,54.5,6.1,7.8,54100,98.9,45.7,16657
5129,2078,3.3,44.8,2.7,5.8,64234,105.3,45.7,16669
5130,1162,77.3,53.1,3.8,9.1,58553,107.9,53.2,16720
5131,928,38.5,53.1,9.1,12.5,56217,106.2,40.2,16729
5132,5847,14.8,48.7,7.5,17.2,58618,96.5,44.6,16735
5133,2466,16.7,54.1,6.4,7.9,62716,349.2,39.7,16738
5134,595,100.0,40.8,5.9,11.0,57464,94.4,36.6,16745
5135,2735,34.3,51.5,9.9,18.4,53592,85.2,47.8,16748
5136,5818,30.0,54.7,4.0,7.4,70765,109.4,45.2,16841
5137,1643,71.4,54.8,5.8,19.2,50403,110.1,48.6,16313
5138,127,-666666666.0,83.3,7.4,22.8,45382,98.4,45.3,16322
5139,27747,63.8,42.9,7.3,17.5,59334,96.1,40.7,16335
5140,257,-666666666.0,61.5,9.4,4.7,43583,114.2,41.3,16245
5141,469,100.0,51.8,8.6,9.8,53591,90.7,41.4,16344
5142,2533,52.8,56.1,6.6,23.1,51781,132.2,44.7,16347
5143,1466,80.0,55.2,8.8,11.9,50463,101.4,55.2,16351
5144,266,0.0,63.6,0.0,4.3,52481,133.3,49.2,16352
5145,128,0.0,59.6,0.0,3.9,43271,151.0,63.0,16370
5146,1802,100.0,51.5,15.2,20.8,68889,101.1,40.7,16411
5147,3896,0.0,51.4,4.4,13.8,77096,112.4,43.7,16426
5148,598,-666666666.0,54.9,10.2,24.3,48176,134.5,35.1,16436
5149,1119,0.0,42.0,12.6,11.7,61122,80.8,48.6,16443
5150,1998,100.0,30.9,16.7,64.1,14780,93.4,54.3,16501
5151,16369,51.5,29.3,3.2,12.1,79363,93.1,47.9,16505
5152,299,53.1,58.8,0.0,26.1,45747,82.3,33.8,16633
5153,2346,0.0,46.0,8.9,15.0,55023,106.7,42.0,16637
5154,18248,39.5,47.1,7.4,15.9,55999,138.1,40.3,16652
5155,325,0.0,49.0,7.5,10.5,57543,94.6,41.5,16659
5156,892,0.0,57.0,10.5,24.8,47643,110.9,44.5,16661
5157,33,-666666666.0,32.3,0.0,12.1,52430,83.3,61.9,16670
5158,324,-666666666.0,62.7,5.5,9.0,64971,106.4,31.3,16672
5159,152,-666666666.0,53.4,15.6,9.9,66781,74.7,66.0,16685
5160,13102,46.6,48.8,7.5,12.3,60362,96.2,43.1,16686
5161,2523,58.1,48.3,4.9,10.8,61987,99.0,46.4,16731
5162,356,-666666666.0,65.7,8.8,6.7,51032,140.5,55.6,16732
5163,2062,37.5,50.6,10.4,10.3,58692,96.0,45.2,16822
5164,30235,32.6,41.6,2.8,6.3,69030,128.6,40.9,16823
5165,575,-666666666.0,56.0,8.4,5.6,62465,112.2,36.7,16826
5166,13597,37.2,45.2,8.1,12.9,61839,90.2,45.8,16830
5167,752,53.8,53.2,31.3,27.4,47572,194.9,31.8,16839
5168,733,0.0,51.0,2.3,2.0,64167,119.5,40.9,16854
5169,7149,5.5,30.4,2.8,3.5,115008,103.8,41.9,16870
5170,1702,44.4,40.0,3.5,25.4,60742,87.9,25.8,16872
5171,1901,54.5,34.8,5.4,15.5,71371,112.2,36.5,16912
5172,2039,42.1,56.6,8.6,15.7,55268,108.1,44.9,16920
5173,1319,13.3,43.6,5.0,10.2,60028,98.0,41.5,16930
5174,1888,64.7,48.3,8.6,12.3,73389,107.0,46.5,16936
5175,1681,57.8,47.0,8.0,18.6,53086,105.0,36.4,16948
5176,251,-666666666.0,30.3,0.0,11.1,54127,110.9,32.1,16725
5177,1438,0.0,55.2,3.8,8.1,66786,98.9,43.5,16874
5178,832,40.0,55.9,12.2,17.9,59467,92.1,43.6,16942
5179,44451,11.3,13.2,6.9,32.4,67667,114.2,25.1,16801
5180,315,0.0,50.0,6.3,17.8,49489,118.8,44.8,16212
5181,842,0.0,36.1,3.5,18.9,68203,113.2,46.6,16402
5182,32764,46.2,48.3,6.6,19.9,55202,99.2,40.2,16601
5183,707,0.0,54.1,8.7,8.1,75284,136.5,50.3,16636
5184,458,25.0,58.0,7.5,6.2,53592,209.5,34.0,16750
5185,34,-666666666.0,53.1,0.0,8.8,41153,112.5,60.0,16871
5186,1247,0.0,38.3,7.2,25.5,55100,90.1,30.5,16045
5187,702,0.0,55.7,2.5,5.0,58373,98.3,44.8,16029
5188,308,0.0,57.3,17.2,13.7,52198,108.1,42.0,16030
5189,6240,4.4,33.6,3.9,5.0,84610,99.8,43.5,16033
5190,2814,22.6,46.7,6.5,12.8,73631,100.3,46.5,16116
5191,17634,67.2,42.2,6.2,9.6,64069,92.2,42.1,16117
5192,4729,100.0,44.3,10.5,34.2,39332,82.2,43.0,16121
5193,2070,0.0,47.4,6.3,18.4,62281,98.7,40.0,16124
5194,111,0.0,46.4,0.0,27.9,46203,91.4,26.1,16151
5195,2415,0.0,59.6,5.2,14.7,60883,103.1,48.8,16154
5196,4824,76.2,48.9,6.5,7.3,61018,84.1,47.3,16159
5197,352,-666666666.0,72.3,0.0,32.1,41410,79.6,45.5,16236
5198,316,-666666666.0,47.4,8.3,20.8,55818,112.1,42.5,16861
5199,10008,67.8,49.0,6.1,16.1,55251,124.7,44.8,16866
5200,1822,75.0,43.1,4.3,6.3,74853,100.2,44.7,16877
5201,1721,33.3,45.1,5.6,9.2,53554,94.2,49.5,16878
5202,1204,33.3,44.0,3.3,10.4,65350,101.7,42.5,16917
5203,623,100.0,50.4,11.0,24.1,46857,120.1,54.6,16927
5204,1759,70.6,53.6,11.5,15.1,52232,96.1,49.3,16028
5205,2036,7.7,50.4,7.2,9.1,67675,106.7,37.2,16034
5206,4722,0.0,38.6,2.8,4.9,91231,106.7,41.1,16037
5207,1519,14.3,50.1,7.8,14.0,61974,97.5,43.4,16050
5208,6054,12.8,46.5,4.3,15.6,65303,102.2,42.5,16102
5209,1589,69.2,45.9,8.4,5.4,67403,113.0,43.2,16112
5210,17442,46.7,47.5,5.7,13.2,68644,97.8,45.0,16125
5211,15769,26.5,40.7,2.3,7.9,67672,99.4,35.8,16127
5212,12742,14.6,44.8,6.5,9.6,67586,130.1,45.6,16137
5213,1928,100.0,45.0,7.1,16.5,75094,116.9,45.4,16141
5214,2894,68.2,50.9,8.1,10.6,59122,96.3,50.4,16143
5215,135,-666666666.0,13.3,0.0,36.3,31378,21.6,80.8,16155
5216,827,-666666666.0,45.3,6.1,15.1,53138,93.2,49.3,16160
5217,1119,16.7,53.8,13.0,22.1,62399,106.1,47.1,16218
5218,5404,50.0,56.3,1.2,16.6,42311,917.7,35.5,16239
5219,3140,75.0,55.1,10.9,17.5,49362,104.6,45.0,16248
5220,1700,70.6,45.4,7.9,10.4,65800,105.1,44.2,16249
5221,528,-666666666.0,48.9,3.8,34.5,38505,111.2,32.9,16250
5222,5946,14.9,38.2,2.5,11.5,84489,101.9,35.2,17527
5223,4565,0.0,26.3,3.4,11.5,74505,104.2,31.4,17529
5224,4801,59.7,51.0,6.2,6.8,67894,95.3,46.0,17560
5225,6797,16.7,44.4,3.2,9.9,76415,94.6,46.3,17578
5226,877,0.0,50.6,3.8,5.5,68408,116.5,35.0,17581
5227,256,0.0,29.2,3.2,6.6,90026,98.4,59.3,17731
5228,3315,6.0,40.0,3.2,19.5,64809,94.8,29.6,17747
5229,170,0.0,68.2,16.0,5.3,46007,112.5,32.3,17767
5230,7501,57.3,48.3,3.7,12.8,58998,87.1,43.6,17777
5231,84,-666666666.0,60.3,8.7,19.0,50072,78.7,63.0,17778
5232,3812,0.0,46.6,1.5,4.3,66914,96.9,50.2,17824
5233,1477,64.7,60.6,4.1,12.5,52799,92.1,44.1,17881
5234,8667,13.8,49.9,8.5,15.2,58114,241.8,40.3,17931
5235,193,-666666666.0,57.3,0.0,14.0,46482,85.6,59.3,17951
5236,8944,35.6,46.7,5.1,8.6,66702,109.7,44.1,17963
5237,179,-666666666.0,59.0,0.0,0.0,42329,47.9,61.4,17979
5238,2605,11.3,46.6,4.6,10.0,62079,104.3,39.8,17094
5239,7793,57.9,30.2,7.2,20.5,69804,87.6,35.1,17102
5240,383,-666666666.0,58.3,18.8,16.4,49986,94.4,37.9,17223
5241,1871,100.0,61.2,6.4,8.6,63495,100.8,49.2,17224
5242,8651,60.0,46.1,3.7,4.4,69344,105.4,42.5,17236
5243,3957,0.0,46.2,4.1,4.6,73830,98.4,32.4,17240
5244,2515,44.4,47.4,3.2,6.8,70856,103.0,39.4,17244
5245,5,0.0,0.0,0.0,20.0,-666666666,150.0,28.5,17254
5246,1113,0.0,59.9,5.9,11.3,63014,93.2,46.1,17255
5247,29525,18.5,44.0,7.4,19.5,65009,91.8,30.2,17257
5248,1668,43.8,40.1,5.1,17.9,61733,98.6,31.2,17262
5249,2801,15.2,45.4,3.9,6.3,81703,107.0,42.3,17304
5250,5619,83.7,45.2,2.9,9.3,78942,103.3,41.7,17307
5251,755,0.0,51.9,3.1,8.2,64948,112.7,32.7,17317
5252,28405,46.3,33.7,6.0,12.5,77143,94.8,41.9,17325
5253,3543,13.3,47.2,5.0,5.8,48923,79.4,38.6,17344
5254,7709,57.1,53.1,3.7,9.8,70551,104.2,43.5,17345
5255,1265,-666666666.0,42.2,8.5,4.5,65943,98.6,47.9,17352
5256,22093,36.3,41.4,5.6,5.4,74603,97.7,40.4,17356
5257,3780,0.0,44.3,2.1,11.2,71376,99.9,47.3,17364
5258,4327,23.6,44.1,4.1,13.4,71714,100.1,42.0,17372
5259,18135,79.1,44.5,12.8,43.4,35898,99.2,28.3,17401
5260,34731,43.7,37.5,7.1,11.5,73080,95.7,38.3,17404
5261,3125,0.0,32.4,0.6,8.8,81272,107.9,30.4,17536
5262,7429,25.0,42.7,3.1,9.5,76618,104.8,35.1,17547
5263,756,100.0,51.1,2.5,18.4,46757,103.8,48.0,17097
5264,1289,-666666666.0,50.5,2.0,15.9,53257,116.3,47.9,17099
5265,35241,18.4,29.2,3.3,5.0,94140,99.1,44.3,17112
5266,426,0.0,49.8,7.0,35.8,55372,131.5,26.0,17219
