,2017 Pop,2017 Unmarried Women,High School Graduate,Unemployment,Percent Under the Poverty lavel,Mean Income,Sex Ratio,Mean Age,zip code tabulation area
90,501,-666666666.0,29.8,12.0,0.0,134930,40.7,35.0,01745
91,14480,0.0,12.3,4.8,1.4,148072,96.5,42.2,01746
92,10560,1.8,22.8,2.7,8.1,114034,101.5,43.6,01754
93,19843,9.8,25.9,3.4,5.9,100058,97.2,43.7,01749
94,3337,0.0,15.9,3.4,2.1,164085,92.9,45.5,01827
95,8569,0.0,21.3,4.4,3.4,124065,94.9,46.0,01833
96,49587,12.5,30.5,6.5,9.4,88978,94.4,39.1,01844
97,5327,0.0,16.8,4.8,3.7,162354,87.2,51.1,01944
98,30170,0.0,14.9,4.2,5.1,136687,97.4,39.9,01845
99,16890,50.5,46.5,8.3,25.4,58083,103.2,29.4,01850
100,41431,10.9,22.8,5.3,8.3,107530,88.8,40.9,01915
101,40362,47.2,29.2,10.2,28.6,56014,95.6,35.2,01040
102,1129,-666666666.0,13.3,6.9,7.5,104104,75.9,54.6,01039
103,25590,55.5,34.6,6.0,19.2,71858,105.1,33.6,01905
104,25961,6.6,19.6,3.9,3.2,133704,101.4,44.5,01824
105,11282,35.7,13.2,3.9,4.3,145285,93.6,45.6,01450
106,4845,0.0,13.2,2.2,4.6,121484,106.5,41.2,01612
107,52313,37.7,32.8,5.2,9.8,84219,93.4,44.4,01960
108,6232,41.4,23.9,5.3,5.5,126480,90.6,44.3,01969
109,6496,-666666666.0,15.5,3.4,1.4,153381,86.1,46.3,01983
110,3724,0.0,24.1,7.6,4.2,97098,99.7,48.1,01010
111,5193,56.9,29.8,6.1,4.0,102875,95.8,49.4,01036
112,8211,62.6,39.2,6.5,11.1,62272,103.2,45.8,01220
113,716,-666666666.0,3.6,12.7,7.7,163461,77.7,41.1,01718
114,2337,79.7,28.0,5.6,16.5,74711,89.2,33.1,01537
115,2510,0.0,27.5,8.2,4.1,89316,118.3,43.7,01521
116,23438,35.1,37.3,9.7,32.5,42259,95.5,27.8,01610
117,16858,52.5,35.9,8.3,18.5,61485,97.4,40.1,01550
118,2299,0.0,30.9,4.1,1.6,105234,102.2,48.2,01542
119,28694,30.6,26.2,5.4,7.9,90904,98.4,39.7,01757
120,18697,0.0,9.0,3.7,3.1,225197,97.7,44.1,01776
121,26103,0.3,20.3,4.9,4.0,123122,92.7,42.2,01803
122,35375,4.3,8.5,4.4,4.4,179237,93.7,42.3,01810
123,23372,38.2,29.5,6.0,13.8,83263,96.2,36.8,01832
124,6752,0.0,21.7,7.2,5.4,104691,91.3,46.9,01860
125,10676,17.5,31.2,5.7,5.3,103848,122.4,40.6,01862
126,22579,9.4,11.0,2.9,2.3,210543,95.7,43.3,01890
127,14774,50.0,28.6,5.7,14.7,74068,87.8,36.8,01118
128,7454,36.9,29.7,3.7,3.9,107538,94.1,39.2,01469
129,1827,38.5,38.8,4.5,5.2,65400,103.0,43.7,01081
130,24087,5.1,10.7,3.2,2.3,149160,94.8,43.4,01886
131,2604,-666666666.0,30.9,11.1,23.6,52876,98.6,37.6,01022
132,16720,24.0,10.9,4.4,1.5,177518,94.6,40.8,01748
133,6006,74.8,18.5,3.7,4.3,120764,85.9,42.0,01566
134,30280,35.6,12.2,7.2,31.3,80304,96.6,23.6,01002
135,1507,42.3,38.7,5.9,6.9,81255,110.2,39.9,01011
136,2532,37.7,46.7,11.7,33.4,63397,87.0,32.7,01080
137,30125,54.8,34.3,10.9,29.8,45831,89.6,27.9,01109
138,8884,83.4,37.2,10.6,21.8,48996,90.7,32.7,01151
139,818,-666666666.0,39.5,2.7,4.4,88815,106.6,49.2,01222
140,3169,5.8,35.6,10.0,4.0,75573,95.7,48.2,01225
141,2626,61.1,37.2,4.2,9.1,82371,100.2,50.0,01337
142,1743,0.0,14.2,3.9,2.3,127548,101.3,50.9,01341
143,4160,0.0,17.4,5.6,8.0,86616,88.2,49.5,01373
144,464,0.0,36.3,1.7,6.9,82512,90.2,49.1,01346
145,2209,0.0,30.2,3.9,8.8,89834,81.2,46.9,01351
146,1218,50.0,28.8,6.0,5.4,84122,81.5,51.0,01366
147,5096,100.0,29.2,8.6,19.2,54658,87.6,44.1,01376
148,744,75.0,26.8,1.6,5.8,67308,95.8,55.7,01378
149,9520,15.2,12.6,3.8,4.8,188420,103.5,43.2,01772
150,29561,51.3,34.4,8.0,25.8,56810,105.1,30.0,01854
151,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666.0,-666666666.0,01199
152,384,-666666666.0,27.1,9.7,44.5,63485,102.1,66.2,01009
153,136,-666666666.0,48.5,50.0,77.9,-666666666,277.8,46.1,01937
154,348,-666666666.0,18.4,0.0,6.0,135457,98.9,52.6,01093
155,1712,-666666666.0,32.5,9.6,24.9,87246,867.2,43.4,01434
156,243,-666666666.0,8.2,11.9,7.4,83168,118.9,59.6,01561
157,333,0.0,31.5,0.9,7.5,102865,75.3,57.3,01243
