,actual,cleared,data_year,offense,ori,state_abbr
14,18,4,2017,larceny,NJ0142000,NJ
15,115,11,2017,larceny,NJ0142100,NJ
16,75,2,2017,larceny,NJ0142200,NJ
17,47,12,2017,larceny,NJ0142300,NJ
18,237,26,2017,larceny,NJ0142400,NJ
19,25,0,2017,larceny,NJ0142500,NJ
0,150,19,2017,larceny,NJ0040400,NJ
1,107,30,2017,larceny,NJ0040500,NJ
2,123,49,2017,larceny,NJ0040600,NJ
3,178,79,2017,larceny,NJ0040700,NJ
4,1393,242,2017,larceny,NJ0040800,NJ
5,8,0,2017,larceny,NJ0040900,NJ
6,105,9,2017,larceny,NJ0041000,NJ
7,263,45,2017,larceny,NJ0041100,NJ
8,1849,671,2017,larceny,NJ0041200,NJ
9,27,0,2017,larceny,NJ0041300,NJ
10,215,24,2017,larceny,NJ0041400,NJ
11,922,241,2017,larceny,NJ0041500,NJ
12,258,93,2017,larceny,NJ0041600,NJ
13,146,18,2017,larceny,NJ0041700,NJ
14,53,6,2017,larceny,NJ0041800,NJ
15,10,1,2017,larceny,NJ0041900,NJ
16,19,0,2017,larceny,NJ0042000,NJ
17,102,46,2017,larceny,NJ0042100,NJ
18,332,78,2017,larceny,NJ0042200,NJ
19,70,7,2017,larceny,NJ0042300,NJ
0,79,5,2017,larceny,NJ0160900,NJ
1,72,0,2017,larceny,NJ0161000,NJ
2,19,6,2017,larceny,NJ0161100,NJ
3,243,57,2017,larceny,NJ0161200,NJ
4,69,5,2017,larceny,NJ0161300,NJ
5,851,304,2017,larceny,NJ0161400,NJ
6,155,24,2017,larceny,NJ0161500,NJ
7,133,18,2017,larceny,NJ0161600,NJ
8,53,2,2017,larceny,NJ0161700,NJ
9,6,0,2017,larceny,NJ016SP00,NJ
10,0,0,2017,larceny,NJ0170000,NJ
11,2,0,2017,larceny,NJ0170200,NJ
12,8,2,2017,larceny,NJ0170300,NJ
13,8,2,2017,larceny,NJ0170400,NJ
14,175,71,2017,larceny,NJ0170500,NJ
15,185,63,2017,larceny,NJ0170800,NJ
16,120,27,2017,larceny,NJ0171200,NJ
17,110,13,2017,larceny,NJ0171300,NJ
18,31,5,2017,larceny,NJ0171500,NJ
19,131,69,2017,larceny,NJ017SP00,NJ
0,503,184,2017,larceny,NJ0090700,NJ
1,364,114,2017,larceny,NJ0090800,NJ
2,389,81,2017,larceny,NJ0090900,NJ
3,1028,65,2017,larceny,NJ0091000,NJ
4,253,41,2017,larceny,NJ0091100,NJ
5,409,32,2017,larceny,NJ0091200,NJ
6,23,0,2017,larceny,NJ009149E,NJ
7,6,2,2017,larceny,NJ009SP00,NJ
8,1,0,2017,larceny,NJ0100400,NJ
9,9,5,2017,larceny,NJ0100500,NJ
10,42,8,2017,larceny,NJ0100600,NJ
11,12,11,2017,larceny,NJ0100700,NJ
12,72,11,2017,larceny,NJ0100900,NJ
13,17,11,2017,larceny,NJ0101000,NJ
14,10,0,2017,larceny,NJ0101100,NJ
15,16,0,2017,larceny,NJ0101400,NJ
16,7,3,2017,larceny,NJ0101500,NJ
17,37,5,2017,larceny,NJ0101700,NJ
18,12,2,2017,larceny,NJ0101900,NJ
19,78,28,2017,larceny,NJ0102100,NJ
0,65,12,2017,larceny,NJ0024200,NJ
1,8,0,2017,larceny,NJ0024300,NJ
2,16,2,2017,larceny,NJ0024400,NJ
3,88,14,2017,larceny,NJ0024500,NJ
4,1095,486,2017,larceny,NJ0024600,NJ
5,9,0,2017,larceny,NJ0024700,NJ
6,129,15,2017,larceny,NJ0024800,NJ
7,55,0,2017,larceny,NJ0024900,NJ
8,137,17,2017,larceny,NJ0025000,NJ
9,152,17,2017,larceny,NJ0025100,NJ
10,49,7,2017,larceny,NJ0025200,NJ
11,12,3,2017,larceny,NJ0025300,NJ
12,74,12,2017,larceny,NJ0025400,NJ
13,0,0,2017,larceny,NJ0025500,NJ
14,166,21,2017,larceny,NJ0025600,NJ
15,190,69,2017,larceny,NJ0025700,NJ
16,13,4,2017,larceny,NJ0025800,NJ
17,48,16,2017,larceny,NJ0025900,NJ
18,299,25,2017,larceny,NJ0026000,NJ
19,48,8,2017,larceny,NJ0026100,NJ
0,1086,198,2017,larceny,NJ0160200,NJ
1,113,29,2017,larceny,NJ0160300,NJ
2,192,16,2017,larceny,NJ0160400,NJ
3,93,28,2017,larceny,NJ0160500,NJ
4,28,7,2017,larceny,NJ0160600,NJ
5,842,62,2017,larceny,NJ0160700,NJ
6,1776,122,2017,larceny,NJ0160800,NJ
7,79,5,2017,larceny,NJ0160900,NJ
8,72,0,2017,larceny,NJ0161000,NJ
9,19,6,2017,larceny,NJ0161100,NJ
10,243,57,2017,larceny,NJ0161200,NJ
11,69,5,2017,larceny,NJ0161300,NJ
12,851,304,2017,larceny,NJ0161400,NJ
13,155,24,2017,larceny,NJ0161500,NJ
14,133,18,2017,larceny,NJ0161600,NJ
15,53,2,2017,larceny,NJ0161700,NJ
16,6,0,2017,larceny,NJ016SP00,NJ
17,0,0,2017,larceny,NJ0170000,NJ
18,2,0,2017,larceny,NJ0170200,NJ
19,8,2,2017,larceny,NJ0170300,NJ
0,1001,64,2017,larceny,NJ0121400,NJ
1,567,140,2017,larceny,NJ0121500,NJ
2,598,70,2017,larceny,NJ0121600,NJ
3,400,29,2017,larceny,NJ0121700,NJ
4,104,12,2017,larceny,NJ0121800,NJ
5,311,12,2017,larceny,NJ0121900,NJ
6,54,1,2017,larceny,NJ0122000,NJ
7,311,47,2017,larceny,NJ0122100,NJ
8,413,85,2017,larceny,NJ0122200,NJ
9,93,16,2017,larceny,NJ0122300,NJ
10,54,14,2017,larceny,NJ0122400,NJ
11,1279,292,2017,larceny,NJ0122500,NJ
12,13,0,2017,larceny,NJ0122600,NJ
13,347,40,2017,larceny,NJ0123000,NJ
14,22,4,2017,larceny,NJ012SP00,NJ
15,1,1,2017,larceny,NJ0130000,NJ
16,24,2,2017,larceny,NJ0130100,NJ
17,4,0,2017,larceny,NJ0130200,NJ
18,589,101,2017,larceny,NJ0130300,NJ
19,29,2,2017,larceny,NJ0130400,NJ
0,5,0,2017,larceny,NJ0051300,NJ
1,382,51,2017,larceny,NJ0051400,NJ
2,66,7,2017,larceny,NJ0051500,NJ
3,172,71,2017,larceny,NJ005SP00,NJ
4,1,1,2017,larceny,NJ0060000,NJ
5,710,58,2017,larceny,NJ0060100,NJ
6,1280,294,2017,larceny,NJ0061000,NJ
7,1883,445,2017,larceny,NJ0061400,NJ
8,339,218,2017,larceny,NJ006SP00,NJ
9,36,2,2017,larceny,NJ0070000,NJ
10,471,75,2017,larceny,NJ0070100,NJ
11,619,248,2017,larceny,NJ0070200,NJ
12,43,3,2017,larceny,NJ0070300,NJ
13,155,36,2017,larceny,NJ0070400,NJ
14,64,12,2017,larceny,NJ0070500,NJ
15,552,114,2017,larceny,NJ0070600,NJ
16,7,0,2017,larceny,NJ0070700,NJ
17,114,15,2017,larceny,NJ0070800,NJ
18,710,92,2017,larceny,NJ0070900,NJ
19,299,132,2017,larceny,NJ0071000,NJ
0,12,3,2017,larceny,NJ0025300,NJ
1,74,12,2017,larceny,NJ0025400,NJ
2,0,0,2017,larceny,NJ0025500,NJ
3,166,21,2017,larceny,NJ0025600,NJ
4,190,69,2017,larceny,NJ0025700,NJ
5,13,4,2017,larceny,NJ0025800,NJ
6,48,16,2017,larceny,NJ0025900,NJ
7,299,25,2017,larceny,NJ0026000,NJ
8,48,8,2017,larceny,NJ0026100,NJ
9,121,45,2017,larceny,NJ0026200,NJ
10,14,3,2017,larceny,NJ0026300,NJ
11,50,6,2017,larceny,NJ0026400,NJ
12,120,28,2017,larceny,NJ0026500,NJ
13,8,1,2017,larceny,NJ0026600,NJ
14,35,7,2017,larceny,NJ0026700,NJ
15,18,4,2017,larceny,NJ0026800,NJ
16,60,1,2017,larceny,NJ0026900,NJ
17,76,19,2017,larceny,NJ0027000,NJ
18,38,12,2017,larceny,NJ002SP00,NJ
19,26,8,2017,larceny,NJ0030200,NJ
0,97,44,2017,larceny,NJ0211600,NJ
1,10,0,2017,larceny,NJ0211700,NJ
2,282,32,2017,larceny,NJ0211900,NJ
3,140,57,2017,larceny,NJ0212000,NJ
4,63,7,2017,larceny,NJ0212100,NJ
5,46,7,2017,larceny,NJ0212200,NJ
6,89,9,2017,larceny,NJ021SP00,NJ
7,3200,170,2017,larceny,NJNPD0000,NJ
8,3,0,2017,larceny,NJNPIPP00,NJ
9,463,74,2017,larceny,NJNYPOA00,NJ
10,0,0,2017,larceny,NJ0010000,NJ
11,194,53,2017,larceny,NJ0010100,NJ
12,1298,274,2017,larceny,NJ0010200,NJ
13,84,5,2017,larceny,NJ0010300,NJ
14,90,6,2017,larceny,NJ0010400,NJ
15,107,36,2017,larceny,NJ0010700,NJ
16,681,320,2017,larceny,NJ0010800,NJ
17,497,39,2017,larceny,NJ0011100,NJ
18,690,229,2017,larceny,NJ0011200,NJ
19,134,37,2017,larceny,NJ0011300,NJ
0,21,1,2017,larceny,NJ0180100,NJ
1,88,4,2017,larceny,NJ0180200,NJ
2,36,2,2017,larceny,NJ0180300,NJ
3,133,16,2017,larceny,NJ0180400,NJ
4,46,8,2017,larceny,NJ0180500,NJ
5,313,105,2017,larceny,NJ0180600,NJ
6,4,1,2017,larceny,NJ0180700,NJ
7,578,29,2017,larceny,NJ0180800,NJ
8,53,10,2017,larceny,NJ0180900,NJ
9,205,7,2017,larceny,NJ0181000,NJ
10,138,60,2017,larceny,NJ0181100,NJ
11,81,3,2017,larceny,NJ0181300,NJ
12,404,44,2017,larceny,NJ0181400,NJ
13,10,4,2017,larceny,NJ0181500,NJ
14,76,14,2017,larceny,NJ0181600,NJ
15,99,5,2017,larceny,NJ0181800,NJ
16,23,5,2017,larceny,NJ0181900,NJ
17,31,2,2017,larceny,NJ0182000,NJ
18,334,102,2017,larceny,NJ0182100,NJ
19,8,0,2017,larceny,NJ018SP00,NJ
0,10,2,2017,larceny,NJ0152300,NJ
1,106,14,2017,larceny,NJ0152400,NJ
2,73,16,2017,larceny,NJ0152500,NJ
3,101,25,2017,larceny,NJ0152600,NJ
4,17,0,2017,larceny,NJ0152700,NJ
5,15,0,2017,larceny,NJ0152800,NJ
6,46,2,2017,larceny,NJ0152900,NJ
7,179,82,2017,larceny,NJ0153000,NJ
8,23,7,2017,larceny,NJ0153100,NJ
9,41,4,2017,larceny,NJ0153200,NJ
10,102,38,2017,larceny,NJ0153300,NJ
11,18,3,2017,larceny,NJ015SP00,NJ
12,35,5,2017,larceny,NJ0160100,NJ
13,1086,198,2017,larceny,NJ0160200,NJ
14,113,29,2017,larceny,NJ0160300,NJ
15,192,16,2017,larceny,NJ0160400,NJ
16,93,28,2017,larceny,NJ0160500,NJ
17,28,7,2017,larceny,NJ0160600,NJ
18,842,62,2017,larceny,NJ0160700,NJ
19,1776,122,2017,larceny,NJ0160800,NJ
0,4,3,2017,larceny,NJ0150000,NJ
1,0,0,2017,larceny,NJ0150100,NJ
2,16,2,2017,larceny,NJ0150200,NJ
3,104,12,2017,larceny,NJ0150300,NJ
4,114,7,2017,larceny,NJ0150400,NJ
5,362,25,2017,larceny,NJ0150500,NJ
6,898,136,2017,larceny,NJ0150600,NJ
7,1331,189,2017,larceny,NJ0150700,NJ
8,15,7,2017,larceny,NJ0150900,NJ
9,8,0,2017,larceny,NJ0151000,NJ
10,355,47,2017,larceny,NJ0151100,NJ
11,279,69,2017,larceny,NJ0151200,NJ
12,31,15,2017,larceny,NJ0151300,NJ
13,689,104,2017,larceny,NJ0151400,NJ
14,17,0,2017,larceny,NJ0151500,NJ
15,213,34,2017,larceny,NJ0151600,NJ
16,87,0,2017,larceny,NJ0151700,NJ
17,186,23,2017,larceny,NJ0151800,NJ
18,8,1,2017,larceny,NJ0151900,NJ
19,54,0,2017,larceny,NJ0152000,NJ
0,11,1,2017,larceny,NJ014SP00,NJ
1,4,3,2017,larceny,NJ0150000,NJ
2,0,0,2017,larceny,NJ0150100,NJ
3,16,2,2017,larceny,NJ0150200,NJ
4,104,12,2017,larceny,NJ0150300,NJ
5,114,7,2017,larceny,NJ0150400,NJ
6,362,25,2017,larceny,NJ0150500,NJ
7,898,136,2017,larceny,NJ0150600,NJ
8,1331,189,2017,larceny,NJ0150700,NJ
9,15,7,2017,larceny,NJ0150900,NJ
10,8,0,2017,larceny,NJ0151000,NJ
11,355,47,2017,larceny,NJ0151100,NJ
12,279,69,2017,larceny,NJ0151200,NJ
13,31,15,2017,larceny,NJ0151300,NJ
14,689,104,2017,larceny,NJ0151400,NJ
15,17,0,2017,larceny,NJ0151500,NJ
16,213,34,2017,larceny,NJ0151600,NJ
17,87,0,2017,larceny,NJ0151700,NJ
18,186,23,2017,larceny,NJ0151800,NJ
19,8,1,2017,larceny,NJ0151900,NJ
0,2,1,2017,motor-vehicle-theft,NJ0160100,NJ
1,109,1,2017,motor-vehicle-theft,NJ0160200,NJ
2,13,3,2017,motor-vehicle-theft,NJ0160300,NJ
3,8,0,2017,motor-vehicle-theft,NJ0160400,NJ
4,10,0,2017,motor-vehicle-theft,NJ0160500,NJ
5,0,0,2017,motor-vehicle-theft,NJ0160600,NJ
6,128,0,2017,motor-vehicle-theft,NJ0160700,NJ
7,631,1,2017,motor-vehicle-theft,NJ0160800,NJ
8,8,0,2017,motor-vehicle-theft,NJ0160900,NJ
9,14,5,2017,motor-vehicle-theft,NJ0161000,NJ
10,4,3,2017,motor-vehicle-theft,NJ0161100,NJ
11,16,1,2017,motor-vehicle-theft,NJ0161200,NJ
12,2,2,2017,motor-vehicle-theft,NJ0161300,NJ
13,43,3,2017,motor-vehicle-theft,NJ0161400,NJ
14,11,1,2017,motor-vehicle-theft,NJ0161500,NJ
15,6,2,2017,motor-vehicle-theft,NJ0161600,NJ
16,0,0,2017,motor-vehicle-theft,NJ0161700,NJ
17,5,0,2017,motor-vehicle-theft,NJ016SP00,NJ
18,0,0,2017,motor-vehicle-theft,NJ0170000,NJ
19,0,0,2017,motor-vehicle-theft,NJ0170200,NJ
0,15,1,2017,motor-vehicle-theft,NJ0181100,NJ
1,10,2,2017,motor-vehicle-theft,NJ0181300,NJ
2,27,2,2017,motor-vehicle-theft,NJ0181400,NJ
3,0,0,2017,motor-vehicle-theft,NJ0181500,NJ
4,4,0,2017,motor-vehicle-theft,NJ0181600,NJ
5,16,1,2017,motor-vehicle-theft,NJ0181800,NJ
6,2,0,2017,motor-vehicle-theft,NJ0181900,NJ
7,4,0,2017,motor-vehicle-theft,NJ0182000,NJ
8,6,1,2017,motor-vehicle-theft,NJ0182100,NJ
9,1,0,2017,motor-vehicle-theft,NJ018SP00,NJ
10,3,2,2017,motor-vehicle-theft,NJ0190200,NJ
11,2,0,2017,motor-vehicle-theft,NJ0190400,NJ
12,1,1,2017,motor-vehicle-theft,NJ0190600,NJ
13,0,0,2017,motor-vehicle-theft,NJ0190900,NJ
14,8,0,2017,motor-vehicle-theft,NJ0191100,NJ
15,1,1,2017,motor-vehicle-theft,NJ0191200,NJ
16,0,0,2017,motor-vehicle-theft,NJ0191500,NJ
17,0,0,2017,motor-vehicle-theft,NJ0191600,NJ
18,5,0,2017,motor-vehicle-theft,NJ0191800,NJ
19,1,0,2017,motor-vehicle-theft,NJ0191900,NJ
0,4,0,2017,motor-vehicle-theft,NJ0212200,NJ
1,7,2,2017,motor-vehicle-theft,NJ021SP00,NJ
2,2392,16,2017,motor-vehicle-theft,NJNPD0000,NJ
3,0,0,2017,motor-vehicle-theft,NJNPIPP00,NJ
4,19,4,2017,motor-vehicle-theft,NJNYPOA00,NJ
5,0,0,2017,motor-vehicle-theft,NJ0010000,NJ
6,8,2,2017,motor-vehicle-theft,NJ0010100,NJ
7,115,6,2017,motor-vehicle-theft,NJ0010200,NJ
8,2,0,2017,motor-vehicle-theft,NJ0010300,NJ
9,2,2,2017,motor-vehicle-theft,NJ0010400,NJ
10,9,3,2017,motor-vehicle-theft,NJ0010700,NJ
11,25,4,2017,motor-vehicle-theft,NJ0010800,NJ
12,25,3,2017,motor-vehicle-theft,NJ0011100,NJ
13,30,6,2017,motor-vehicle-theft,NJ0011200,NJ
14,6,1,2017,motor-vehicle-theft,NJ0011300,NJ
15,0,0,2017,motor-vehicle-theft,NJ0011400,NJ
16,0,0,2017,motor-vehicle-theft,NJ0011500,NJ
17,5,5,2017,motor-vehicle-theft,NJ0011600,NJ
18,1,0,2017,motor-vehicle-theft,NJ0011700,NJ
19,0,0,2017,motor-vehicle-theft,NJ0011800,NJ
0,1,0,2017,motor-vehicle-theft,NJ0025300,NJ
1,3,0,2017,motor-vehicle-theft,NJ0025400,NJ
2,1,0,2017,motor-vehicle-theft,NJ0025500,NJ
3,17,1,2017,motor-vehicle-theft,NJ0025600,NJ
4,23,5,2017,motor-vehicle-theft,NJ0025700,NJ
5,3,3,2017,motor-vehicle-theft,NJ0025800,NJ
6,4,1,2017,motor-vehicle-theft,NJ0025900,NJ
7,14,0,2017,motor-vehicle-theft,NJ0026000,NJ
8,8,0,2017,motor-vehicle-theft,NJ0026100,NJ
9,2,0,2017,motor-vehicle-theft,NJ0026200,NJ
10,0,0,2017,motor-vehicle-theft,NJ0026300,NJ
11,3,0,2017,motor-vehicle-theft,NJ0026400,NJ
12,7,0,2017,motor-vehicle-theft,NJ0026500,NJ
13,1,0,2017,motor-vehicle-theft,NJ0026600,NJ
14,2,1,2017,motor-vehicle-theft,NJ0026700,NJ
15,2,0,2017,motor-vehicle-theft,NJ0026800,NJ
16,2,0,2017,motor-vehicle-theft,NJ0026900,NJ
17,5,2,2017,motor-vehicle-theft,NJ0027000,NJ
18,10,2,2017,motor-vehicle-theft,NJ002SP00,NJ
19,1,0,2017,motor-vehicle-theft,NJ0030200,NJ
0,1,1,2017,motor-vehicle-theft,NJ0050800,NJ
1,2,2,2017,motor-vehicle-theft,NJ0050900,NJ
2,2,0,2017,motor-vehicle-theft,NJ0051000,NJ
3,0,0,2017,motor-vehicle-theft,NJ0051200,NJ
4,0,0,2017,motor-vehicle-theft,NJ0051300,NJ
5,4,0,2017,motor-vehicle-theft,NJ0051400,NJ
6,1,0,2017,motor-vehicle-theft,NJ0051500,NJ
7,7,3,2017,motor-vehicle-theft,NJ005SP00,NJ
8,0,0,2017,motor-vehicle-theft,NJ0060000,NJ
9,39,1,2017,motor-vehicle-theft,NJ0060100,NJ
10,39,3,2017,motor-vehicle-theft,NJ0061000,NJ
11,59,5,2017,motor-vehicle-theft,NJ0061400,NJ
12,13,5,2017,motor-vehicle-theft,NJ006SP00,NJ
13,0,0,2017,motor-vehicle-theft,NJ0070000,NJ
14,91,4,2017,motor-vehicle-theft,NJ0070100,NJ
15,82,1,2017,motor-vehicle-theft,NJ0070200,NJ
16,4,2,2017,motor-vehicle-theft,NJ0070300,NJ
17,20,0,2017,motor-vehicle-theft,NJ0070400,NJ
18,9,0,2017,motor-vehicle-theft,NJ0070500,NJ
19,236,10,2017,motor-vehicle-theft,NJ0070600,NJ
0,119,5,2017,motor-vehicle-theft,NJ0120500,NJ
1,2,1,2017,motor-vehicle-theft,NJ0120600,NJ
2,11,1,2017,motor-vehicle-theft,NJ0120700,NJ
3,5,2,2017,motor-vehicle-theft,NJ0120800,NJ
4,44,1,2017,motor-vehicle-theft,NJ0120900,NJ
5,12,0,2017,motor-vehicle-theft,NJ0121000,NJ
6,8,4,2017,motor-vehicle-theft,NJ0121100,NJ
7,3,0,2017,motor-vehicle-theft,NJ0121200,NJ
8,18,1,2017,motor-vehicle-theft,NJ0121300,NJ
9,87,3,2017,motor-vehicle-theft,NJ0121400,NJ
10,46,1,2017,motor-vehicle-theft,NJ0121500,NJ
11,94,9,2017,motor-vehicle-theft,NJ0121600,NJ
12,39,2,2017,motor-vehicle-theft,NJ0121700,NJ
13,5,0,2017,motor-vehicle-theft,NJ0121800,NJ
14,40,1,2017,motor-vehicle-theft,NJ0121900,NJ
15,14,4,2017,motor-vehicle-theft,NJ0122000,NJ
16,23,8,2017,motor-vehicle-theft,NJ0122100,NJ
17,19,0,2017,motor-vehicle-theft,NJ0122200,NJ
18,14,1,2017,motor-vehicle-theft,NJ0122300,NJ
19,1,0,2017,motor-vehicle-theft,NJ0122400,NJ
0,2,0,2017,motor-vehicle-theft,NJ0152300,NJ
1,2,0,2017,motor-vehicle-theft,NJ0152400,NJ
2,0,0,2017,motor-vehicle-theft,NJ0152500,NJ
3,1,1,2017,motor-vehicle-theft,NJ0152600,NJ
4,1,0,2017,motor-vehicle-theft,NJ0152700,NJ
5,0,0,2017,motor-vehicle-theft,NJ0152800,NJ
6,3,0,2017,motor-vehicle-theft,NJ0152900,NJ
7,9,0,2017,motor-vehicle-theft,NJ0153000,NJ
8,0,0,2017,motor-vehicle-theft,NJ0153100,NJ
9,0,0,2017,motor-vehicle-theft,NJ0153200,NJ
10,8,5,2017,motor-vehicle-theft,NJ0153300,NJ
11,1,0,2017,motor-vehicle-theft,NJ015SP00,NJ
12,2,1,2017,motor-vehicle-theft,NJ0160100,NJ
13,109,1,2017,motor-vehicle-theft,NJ0160200,NJ
14,13,3,2017,motor-vehicle-theft,NJ0160300,NJ
15,8,0,2017,motor-vehicle-theft,NJ0160400,NJ
16,10,0,2017,motor-vehicle-theft,NJ0160500,NJ
17,0,0,2017,motor-vehicle-theft,NJ0160600,NJ
18,128,0,2017,motor-vehicle-theft,NJ0160700,NJ
19,631,1,2017,motor-vehicle-theft,NJ0160800,NJ
0,1,1,2017,motor-vehicle-theft,NJ0022400,NJ
1,0,0,2017,motor-vehicle-theft,NJ0022500,NJ
2,0,0,2017,motor-vehicle-theft,NJ0022600,NJ
3,2,0,2017,motor-vehicle-theft,NJ0022700,NJ
4,3,1,2017,motor-vehicle-theft,NJ0022800,NJ
5,3,1,2017,motor-vehicle-theft,NJ0022900,NJ
6,11,2,2017,motor-vehicle-theft,NJ0023000,NJ
7,24,0,2017,motor-vehicle-theft,NJ0023100,NJ
8,22,1,2017,motor-vehicle-theft,NJ0023200,NJ
9,10,3,2017,motor-vehicle-theft,NJ0023300,NJ
10,3,2,2017,motor-vehicle-theft,NJ0023400,NJ
11,0,0,2017,motor-vehicle-theft,NJ0023500,NJ
12,0,0,2017,motor-vehicle-theft,NJ0023600,NJ
13,10,0,2017,motor-vehicle-theft,NJ0023700,NJ
14,0,0,2017,motor-vehicle-theft,NJ0023800,NJ
15,15,0,2017,motor-vehicle-theft,NJ0023900,NJ
16,0,0,2017,motor-vehicle-theft,NJ0024000,NJ
17,4,0,2017,motor-vehicle-theft,NJ0024100,NJ
18,3,1,2017,motor-vehicle-theft,NJ0024200,NJ
19,2,0,2017,motor-vehicle-theft,NJ0024300,NJ
0,23,7,2017,motor-vehicle-theft,NJ0081100,NJ
1,1,0,2017,motor-vehicle-theft,NJ0081200,NJ
2,0,0,2017,motor-vehicle-theft,NJ0081300,NJ
3,16,1,2017,motor-vehicle-theft,NJ0081400,NJ
4,4,1,2017,motor-vehicle-theft,NJ0081500,NJ
5,0,0,2017,motor-vehicle-theft,NJ0081600,NJ
6,0,0,2017,motor-vehicle-theft,NJ0081700,NJ
7,24,3,2017,motor-vehicle-theft,NJ0081800,NJ
8,0,0,2017,motor-vehicle-theft,NJ0081900,NJ
9,6,0,2017,motor-vehicle-theft,NJ0082000,NJ
10,6,1,2017,motor-vehicle-theft,NJ0082100,NJ
11,29,7,2017,motor-vehicle-theft,NJ0082200,NJ
12,0,0,2017,motor-vehicle-theft,NJ0082300,NJ
13,10,7,2017,motor-vehicle-theft,NJ0082400,NJ
14,2,0,2017,motor-vehicle-theft,NJ0082600,NJ
15,2,1,2017,motor-vehicle-theft,NJ008SP00,NJ
16,71,2,2017,motor-vehicle-theft,NJ0090100,NJ
17,4,0,2017,motor-vehicle-theft,NJ0090200,NJ
18,8,0,2017,motor-vehicle-theft,NJ0090300,NJ
19,44,0,2017,motor-vehicle-theft,NJ0090400,NJ
0,7,1,2017,motor-vehicle-theft,NJ0151800,NJ
1,0,0,2017,motor-vehicle-theft,NJ0151900,NJ
2,1,0,2017,motor-vehicle-theft,NJ0152000,NJ
3,1,1,2017,motor-vehicle-theft,NJ0152100,NJ
4,0,0,2017,motor-vehicle-theft,NJ0152200,NJ
5,2,0,2017,motor-vehicle-theft,NJ0152300,NJ
6,2,0,2017,motor-vehicle-theft,NJ0152400,NJ
7,0,0,2017,motor-vehicle-theft,NJ0152500,NJ
8,1,1,2017,motor-vehicle-theft,NJ0152600,NJ
9,1,0,2017,motor-vehicle-theft,NJ0152700,NJ
10,0,0,2017,motor-vehicle-theft,NJ0152800,NJ
11,3,0,2017,motor-vehicle-theft,NJ0152900,NJ
12,9,0,2017,motor-vehicle-theft,NJ0153000,NJ
13,0,0,2017,motor-vehicle-theft,NJ0153100,NJ
14,0,0,2017,motor-vehicle-theft,NJ0153200,NJ
15,8,5,2017,motor-vehicle-theft,NJ0153300,NJ
16,1,0,2017,motor-vehicle-theft,NJ015SP00,NJ
17,2,1,2017,motor-vehicle-theft,NJ0160100,NJ
18,109,1,2017,motor-vehicle-theft,NJ0160200,NJ
19,13,3,2017,motor-vehicle-theft,NJ0160300,NJ
0,11,0,2017,motor-vehicle-theft,NJ0030800,NJ
1,11,0,2017,motor-vehicle-theft,NJ0030900,NJ
2,8,0,2017,motor-vehicle-theft,NJ0031000,NJ
3,3,0,2017,motor-vehicle-theft,NJ0031100,NJ
4,18,6,2017,motor-vehicle-theft,NJ0031200,NJ
5,16,2,2017,motor-vehicle-theft,NJ0031300,NJ
6,8,1,2017,motor-vehicle-theft,NJ0031500,NJ
7,31,2,2017,motor-vehicle-theft,NJ0031700,NJ
8,8,1,2017,motor-vehicle-theft,NJ0031800,NJ
9,11,5,2017,motor-vehicle-theft,NJ0031900,NJ
10,28,2,2017,motor-vehicle-theft,NJ0032000,NJ
11,1,0,2017,motor-vehicle-theft,NJ0032100,NJ
12,1,0,2017,motor-vehicle-theft,NJ0032200,NJ
13,14,0,2017,motor-vehicle-theft,NJ0032300,NJ
14,14,0,2017,motor-vehicle-theft,NJ0032400,NJ
15,19,4,2017,motor-vehicle-theft,NJ0032500,NJ
16,0,0,2017,motor-vehicle-theft,NJ0032600,NJ
17,3,2,2017,motor-vehicle-theft,NJ0032700,NJ
18,9,3,2017,motor-vehicle-theft,NJ0032800,NJ
19,2,1,2017,motor-vehicle-theft,NJ0032900,NJ
0,0,0,2017,motor-vehicle-theft,NJ0132400,NJ
1,27,8,2017,motor-vehicle-theft,NJ0132500,NJ
2,13,2,2017,motor-vehicle-theft,NJ0132600,NJ
3,1,1,2017,motor-vehicle-theft,NJ0132700,NJ
4,20,10,2017,motor-vehicle-theft,NJ0132800,NJ
5,2,0,2017,motor-vehicle-theft,NJ0132900,NJ
6,13,0,2017,motor-vehicle-theft,NJ0133000,NJ
7,15,3,2017,motor-vehicle-theft,NJ0133100,NJ
8,0,0,2017,motor-vehicle-theft,NJ0133300,NJ
9,8,2,2017,motor-vehicle-theft,NJ0133400,NJ
10,5,1,2017,motor-vehicle-theft,NJ0133500,NJ
11,6,0,2017,motor-vehicle-theft,NJ0133600,NJ
12,18,2,2017,motor-vehicle-theft,NJ0133700,NJ
13,2,0,2017,motor-vehicle-theft,NJ0133800,NJ
14,8,0,2017,motor-vehicle-theft,NJ0133900,NJ
15,4,0,2017,motor-vehicle-theft,NJ0134000,NJ
16,2,0,2017,motor-vehicle-theft,NJ0134200,NJ
17,0,0,2017,motor-vehicle-theft,NJ0134300,NJ
18,0,0,2017,motor-vehicle-theft,NJ0134400,NJ
19,1,0,2017,motor-vehicle-theft,NJ0134500,NJ
0,22,1,2017,motor-vehicle-theft,NJ0023200,NJ
1,10,3,2017,motor-vehicle-theft,NJ0023300,NJ
2,3,2,2017,motor-vehicle-theft,NJ0023400,NJ
