ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,County
,Number of Arrests,,0,0,0,0,0,1,0,Cumberland
NJ0060000,CUMBERLAND CO SHERIFF'S DEPT,0,,,,,,,,Cumberland
,Number of Offenses,,0,0,0,1,0,0,0,Cumberland
,"Rate Per 100,000",,0,0,0,0,0,0,0,Cumberland
,Number of Clearances,,0,0,0,1,0,0,0,Cumberland
,Percent Cleared,,0,0,0,100,0,0,0,Cumberland
,Number of Arrests,,0,0,0,1,0,0,0,Cumberland
NJ0061000,MILLVILLE PD,27837,,,,,,,,Cumberland
,Number of Offenses,,3,7,44,73,149,1041,27,Cumberland
,"Rate Per 100,000",,10.8,25.1,158.1,262.2,535.3,"3,739.6",97.0,Cumberland
,Number of Clearances,,1,1,3,49,16,286,6,Cumberland
,Percent Cleared,,33,14,7,67,11,27,22,Cumberland
,Number of Arrests,,1,2,14,54,24,399,6,Cumberland
NJ006SP,STATE POLICE CUMBERLAND COUNTY,,,,,,,,,Cumberland
,Number of Offenses,,1,7,6,38,146,303,15,Cumberland
,"Rate Per 100,000",,0,0,0,0,0,0,0,Cumberland
,Number of Clearances,,0,0,2,21,52,152,4,Cumberland
,Percent Cleared,,0,0,33,55,36,50,27,Cumberland
,Number of Arrests,,0,2,5,30,23,100,0,Cumberland
NJ0061400,VINELAND PD,60330,,,,,,,,Cumberland
NJ0070100,BELLEVILLE PD,36075,,,,,,,,Essex
,Number of Offenses,,0,1,17,44,87,414,88,Essex
,"Rate Per 100,000",,0,2.8,47.1,122.0,241.2,"1,147.6",243.9,Essex
,Number of Clearances,,0,0,10,30,9,55,3,Essex
,Percent Cleared,,0,0,59,68,10,13,3,Essex
,Number of Arrests,,0,0,8,38,20,50,1,Essex
NJ0070200,BLOOMFIELD PD,50777,,,,,,,,Essex
,Number of Offenses,,2,1,19,28,71,488,88,Essex
,"Rate Per 100,000",,3.9,2.0,37.4,55.1,139.8,961.1,173.3,Essex
,Number of Clearances,,0,0,7,3,8,158,1,Essex
,Percent Cleared,,0,0,37,11,11,32,1,Essex
,Number of Arrests,,0,1,12,30,26,247,0,Essex
NJ0070300,CALDWELL PD,7999,,,,,,,,Essex
,Number of Offenses,,0,2,0,3,16,31,2,Essex
,"Rate Per 100,000",,0,25.0,0,37.5,200.0,387.5,25.0,Essex
,Number of Clearances,,0,0,0,0,1,5,0,Essex
,Percent Cleared,,0,0,0,0,6,16,0,Essex
,Number of Arrests,,0,0,0,3,2,3,0,Essex
NJ0070500,CEDAR GROVE PD,12566,,,,,,,,Essex
,Number of Offenses,,0,0,2,2,17,63,6,Essex
,"Rate Per 100,000",,0,0,15.9,15.9,135.3,501.4,47.7,Essex
,Number of Clearances,,0,0,1,1,3,13,1,Essex
,Percent Cleared,,0,0,50,50,18,21,17,Essex
,Number of Arrests,,0,0,1,2,1,12,0,Essex
NJ0070600,EAST ORANGE PD,64625,,,,,,,,Essex
,Number of Offenses,,6,21,133,173,168,522,214,Essex
,"Rate Per 100,000",,9.3,32.5,205.8,267.7,260.0,807.7,331.1,Essex
,Number of Clearances,,4,4,56,120,27,83,5,Essex
,Percent Cleared,,67,19,42,69,16,16,2,Essex
,Number of Arrests,,0,4,56,118,25,83,5,Essex
NJ0078900,ESSEX CO PROSECUTOR'S OFFICE,0,,,,,,,,Essex
,Number of Offenses,,0,0,0,0,0,0,0,Essex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Essex
,Number of Clearances,,0,0,0,0,0,0,0,Essex
,Percent Cleared,,0,0,0,0,0,0,0,Essex
,Number of Arrests,,0,0,0,0,0,0,0,Essex
NJ0070000,ESSEX CO SHERIFF'S OFFICE,0,,,,,,,,Essex
,Number of Offenses,,0,4,29,74,20,84,7,Essex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Essex
,Number of Clearances,,0,4,26,60,17,69,6,Essex
,Percent Cleared,,0,100,90,81,85,82,86,Essex
,Number of Arrests,,0,1,23,70,14,10,0,Essex
NJ0073100,ESSEX COUNTY COLLEGE PD,0,,,,,,,,Essex
,Number of Offenses,,0,0,1,2,2,45,0,Essex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Essex
,Number of Clearances,,0,0,0,2,1,1,0,Essex
,Percent Cleared,,0,0,0,100,50,2,0,Essex
,Number of Arrests,,0,0,0,2,0,4,0,Essex
NJ0070700,ESSEX FELLS PD,2109,,,,,,,,Essex
,Number of Offenses,,0,0,0,0,0,11,4,Essex
,"Rate Per 100,000",,0,0,0,0,0,521.6,189.7,Essex
,Number of Clearances,,0,0,0,0,0,0,0,Essex
,Percent Cleared,,0,0,0,0,0,0,0,Essex
,Number of Arrests,,0,0,0,0,0,0,0,Essex
NJ0070400,FAIRFIELD PD,7528,,,,,,,,Essex
,Number of Offenses,,0,0,2,5,9,149,18,Essex
,"Rate Per 100,000",,0,0,26.6,66.4,119.6,"1,979.3",239.1,Essex
,Number of Clearances,,0,0,0,4,1,41,1,Essex
,Percent Cleared,,0,0,0,80,11,28,6,Essex
,Number of Arrests,,0,0,1,4,2,18,1,Essex
NJ0070800,GLEN RIDGE PD,7622,,,,,,,,Essex
,Number of Offenses,,0,0,1,0,24,121,13,Essex
,"Rate Per 100,000",,0,0,13.1,0,314.9,"1,587.5",170.6,Essex
,Number of Clearances,,0,0,1,0,4,35,5,Essex
,Percent Cleared,,0,0,100,0,17,29,38,Essex
,Number of Arrests,,0,0,1,0,6,22,4,Essex
NJ0070900,IRVINGTON PD,54220,,,,,,,,Essex
,Number of Offenses,,5,24,218,107,229,656,392,Essex
,"Rate Per 100,000",,9.2,44.3,402.1,197.3,422.4,"1,209.9",723.0,Essex
,Number of Clearances,,1,5,36,60,28,122,30,Essex
,Percent Cleared,,20,21,17,56,12,19,8,Essex
,Number of Arrests,,1,6,46,149,45,103,3,Essex
NJ0071000,LIVINGSTON PD,29820,,,,,,,,Essex
,Number of Offenses,,0,2,3,18,22,238,17,Essex
,"Rate Per 100,000",,0,6.7,10.1,60.4,73.8,798.1,57.0,Essex
,Number of Clearances,,0,0,3,14,6,91,2,Essex
,Percent Cleared,,0,0,100,78,27,38,12,Essex
,Number of Arrests,,0,0,4,14,8,113,0,Essex
NJ0071100,MAPLEWOOD PD,24635,,,,,,,,Essex
,Number of Offenses,,1,2,12,7,43,291,60,Essex
,"Rate Per 100,000",,4.1,8.1,48.7,28.4,174.5,"1,181.2",243.6,Essex
,Number of Clearances,,0,2,4,7,22,90,7,Essex
,Percent Cleared,,0,100,33,100,51,31,12,Essex
,Number of Arrests,,0,1,6,6,17,37,2,Essex
NJ0071200,MILLBURN PD,20250,,,,,,,,Essex
,Number of Offenses,,0,0,8,0,27,325,17,Essex
,"Rate Per 100,000",,0,0,39.5,0,133.3,"1,604.9",84.0,Essex
,Number of Clearances,,0,0,4,0,2,100,3,Essex
,Percent Cleared,,0,0,50,0,7,31,18,Essex
,Number of Arrests,,0,0,6,0,2,141,2,Essex
NJ0071300,MONTCLAIR PD,38893,,,,,,,,Essex
,Number of Offenses,,3,10,5,19,110,350,42,Essex
,"Rate Per 100,000",,7.7,25.7,12.9,48.9,282.8,899.9,108.0,Essex
,Number of Clearances,,0,0,2,12,10,27,7,Essex
,Percent Cleared,,0,0,40,63,9,8,17,Essex
,Number of Arrests,,0,0,2,12,10,25,9,Essex
NJ0072800,MONTCLAIR STATE COLLEGE PD,0,,,,,,,,Essex
,Number of Offenses,,0,5,0,4,1,83,1,Essex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Essex
,Number of Clearances,,0,4,0,3,0,2,0,Essex
,Percent Cleared,,0,80,0,75,0,2,0,Essex
,Number of Arrests,,0,0,0,3,0,1,0,Essex
NJ0072700,NEW JERSEY INSTITUTE OF TECHNOLOGY,0,,,,,,,,Essex
,Number of Offenses,,0,1,1,2,5,65,0,Essex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Essex
,Number of Clearances,,0,0,0,1,4,11,0,Essex
,Percent Cleared,,0,0,0,50,80,17,0,Essex
,Number of Arrests,,0,0,0,4,2,11,0,Essex
NJ0073200,NEW JERSEY TRANSIT POLICE,0,,,,,,,,Essex
,Number of Offenses,,0,0,8,13,1,283,4,Essex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Essex
,Number of Clearances,,0,0,5,8,0,125,1,Essex
,Percent Cleared,,0,0,63,62,0,44,25,Essex
,Number of Arrests,,0,0,21,43,7,169,1,Essex
NJNPD0000,NEWARK PD,282258,,,,,,,,Essex
,Number of Offenses,,75,150,689,1155,832,2827,2015,Essex
,"Rate Per 100,000",,26.6,53.1,244.1,409.2,294.8,"1,001.6",713.9,Essex
,Number of Clearances,,19,7,102,300,109,166,7,Essex
,Percent Cleared,,25,5,15,26,13,6,0,Essex
,Number of Arrests,,18,10,196,477,117,235,5,Essex
NJ0071500,NORTH CALDWELL PD,6716,,,,,,,,Essex
,Number of Offenses,,0,0,0,0,0,12,2,Essex
,"Rate Per 100,000",,0,0,0,0,0,178.7,29.8,Essex
,Number of Clearances,,0,0,0,0,0,0,2,Essex
,Percent Cleared,,0,0,0,0,0,0,100,Essex
,Number of Arrests,,0,0,0,0,0,0,0,Essex
NJ0071600,NUTLEY PD,28596,,,,,,,,Essex
,Number of Offenses,,0,2,4,21,27,149,21,Essex
,"Rate Per 100,000",,0,7.0,14.0,73.4,94.4,521.1,73.4,Essex
,Number of Clearances,,0,1,0,21,9,33,3,Essex
,Percent Cleared,,0,50,0,100,33,22,14,Essex
,Number of Arrests,,0,1,0,20,11,40,3,Essex
NJ0071700,ORANGE PD,30449,,,,,,,,Essex
,Number of Offenses,,6,10,154,56,188,411,173,Essex
,"Rate Per 100,000",,19.7,32.8,505.8,183.9,617.4,"1,349.8",568.2,Essex
,Number of Clearances,,2,1,22,36,7,16,1,Essex
,Percent Cleared,,33,10,14,64,4,4,1,Essex
,Number of Arrests,,2,1,22,43,9,15,0,Essex
NJ0071800,ROSELAND PD,5867,,,,,,,,Essex
,Number of Offenses,,0,0,0,1,6,19,6,Essex
,"Rate Per 100,000",,0,0,0,17.0,102.3,323.8,102.3,Essex
,Number of Clearances,,0,0,0,1,2,4,1,Essex
,Percent Cleared,,0,0,0,100,33,21,17,Essex
,Number of Arrests,,0,0,0,1,2,1,4,Essex
NJ0073000,RUTGERS NEWARK CAMPUS,0,,,,,,,,Essex
,Number of Offenses,,0,4,3,16,11,252,6,Essex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Essex
,Number of Clearances,,0,0,2,13,7,21,2,Essex
,Percent Cleared,,0,0,67,81,64,8,33,Essex
,Number of Arrests,,0,0,1,15,7,24,2,Essex
NJ0071900,SOUTH ORANGE PD,16880,,,,,,,,Essex
,Number of Offenses,,0,0,10,12,38,229,26,Essex
,"Rate Per 100,000",,0,0,59.2,71.1,225.1,"1,356.6",154.0,Essex
,Number of Clearances,,0,1,4,8,16,69,5,Essex
,Percent Cleared,,0,0,40,67,42,30,19,Essex
,Number of Arrests,,0,0,11,6,24,54,3,Essex
NJ007SP,STATE POLICE ESSEX COUNTY,,,,,,,,,Essex
,Number of Offenses,,0,1,2,4,0,9,10,Essex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Essex
,Number of Clearances,,0,0,0,3,0,0,0,Essex
,Percent Cleared,,0,0,0,75,0,0,0,Essex
,Number of Arrests,,0,0,3,2,0,2,1,Essex
NJ0072000,VERONA PD,13437,,,,,,,,Essex
,Number of Offenses,,0,0,0,0,15,68,6,Essex
,"Rate Per 100,000",,0,0,0,0,111.6,506.1,44.7,Essex
,Number of Clearances,,0,0,0,0,0,13,0,Essex
,Percent Cleared,,0,0,0,0,0,19,0,Essex
,Number of Arrests,,0,0,0,2,3,7,0,Essex
NJ0072100,WEST CALDWELL PD,10912,,,,,,,,Essex
,Number of Offenses,,0,0,0,2,5,57,6,Essex
,"Rate Per 100,000",,0,0,0,18.3,45.8,522.4,55.0,Essex
,Number of Clearances,,0,0,0,2,1,6,0,Essex
,Percent Cleared,,0,0,0,100,20,11,0,Essex
,Number of Arrests,,0,0,0,2,1,10,0,Essex
NJ0072200,WEST ORANGE PD,48071,,,,,,,,Essex
NJ0080100,CLAYTON PD,8624,,,,,,,,Gloucester
,Number of Offenses,,0,1,3,6,7,58,5,Gloucester
,"Rate Per 100,000",,0,11.6,34.8,69.6,81.2,672.5,58.0,Gloucester
,Number of Clearances,,0,0,3,6,0,22,6,Gloucester
,Percent Cleared,,0,0,100,100,0,38,120,Gloucester
,Number of Arrests,,0,1,3,6,0,17,6,Gloucester
NJ0080200,DEPTFORD TWP PD,30137,,,,,,,,Gloucester
,Number of Offenses,,2,8,22,15,163,954,36,Gloucester
,"Rate Per 100,000",,6.6,26.5,73.0,49.8,540.9,"3,165.5",119.5,Gloucester
,Number of Clearances,,3,1,12,11,18,149,0,Gloucester
,Percent Cleared,,150,13,55,73,11,16,0,Gloucester
,Number of Arrests,,2,1,13,12,30,186,0,Gloucester
NJ0080300,EAST GREENWICH TWP PD,10504,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,4,12,50,6,Gloucester
,"Rate Per 100,000",,0,0,0,38.1,114.2,476.0,57.1,Gloucester
,Number of Clearances,,0,0,0,4,0,2,0,Gloucester
,Percent Cleared,,0,0,0,100,0,4,0,Gloucester
,Number of Arrests,,0,0,0,0,2,3,1,Gloucester
NJ0080400,ELK TWP PD,4116,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,1,7,26,1,Gloucester
,"Rate Per 100,000",,0,0,0,24.3,170.1,631.7,24.3,Gloucester
,Number of Clearances,,0,0,0,1,1,2,0,Gloucester
,Percent Cleared,,0,0,0,100,14,8,0,Gloucester
,Number of Arrests,,0,0,0,1,0,1,0,Gloucester
NJ0080500,FRANKLIN TWP PD,16225,,,,,,,,Gloucester
,Number of Offenses,,0,0,3,6,52,171,13,Gloucester
,"Rate Per 100,000",,0,0,18.5,37.0,320.5,"1,053.9",80.1,Gloucester
,Number of Clearances,,0,0,2,5,7,18,1,Gloucester
,Percent Cleared,,0,0,67,83,13,11,8,Gloucester
,Number of Arrests,,0,1,4,6,15,20,1,Gloucester
NJ0080600,GLASSBORO PD,19938,,,,,,,,Gloucester
,Number of Offenses,,0,3,10,25,69,250,8,Gloucester
,"Rate Per 100,000",,0,15.0,50.2,125.4,346.1,"1,253.9",40.1,Gloucester
,Number of Clearances,,0,1,5,26,9,52,2,Gloucester
,Percent Cleared,,0,33,50,104,13,21,25,Gloucester
,Number of Arrests,,0,1,7,20,11,57,1,Gloucester
NJ0088900,GLOUCESTER CO PROSECUTOR'S OFFICE,0,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,0,0,0,0,Gloucester
,"Rate Per 100,000",,0,0,0,0,0,0,0,Gloucester
,Number of Clearances,,0,0,0,0,0,0,0,Gloucester
,Percent Cleared,,0,0,0,0,0,0,0,Gloucester
,Number of Arrests,,0,0,0,0,0,0,0,Gloucester
NJ0080000,GLOUCESTER CO SHERIFF'S DEPT,0,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,1,0,1,0,Gloucester
,"Rate Per 100,000",,0,0,0,0,0,0,0,Gloucester
,Number of Clearances,,0,0,0,1,0,1,0,Gloucester
,Percent Cleared,,0,0,0,100,0,100,0,Gloucester
,Number of Arrests,,0,0,0,1,0,1,0,Gloucester
NJ0080700,GREENWICH TWP PD,4769,,,,,,,,Gloucester
,Number of Offenses,,0,0,1,6,7,56,5,Gloucester
,"Rate Per 100,000",,0,0,21.0,125.8,146.8,"1,174.3",104.8,Gloucester
,Number of Clearances,,0,1,0,5,0,14,1,Gloucester
,Percent Cleared,,0,0,0,83,0,25,20,Gloucester
,Number of Arrests,,0,0,0,5,1,10,3,Gloucester
NJ0080800,HARRISON TWP PD,12915,,,,,,,,Gloucester
,Number of Offenses,,0,1,1,0,13,53,1,Gloucester
,"Rate Per 100,000",,0,7.7,7.7,0,100.7,410.4,7.7,Gloucester
,Number of Clearances,,0,0,1,0,0,7,0,Gloucester
,Percent Cleared,,0,0,100,0,0,13,0,Gloucester
,Number of Arrests,,0,0,1,1,2,11,0,Gloucester
NJ0080900,LOGAN TWP PD,5844,,,,,,,,Gloucester
,Number of Offenses,,0,0,3,2,12,96,7,Gloucester
,"Rate Per 100,000",,0,0,51.3,34.2,205.3,"1,642.7",119.8,Gloucester
,Number of Clearances,,0,0,3,1,3,18,0,Gloucester
,Percent Cleared,,0,0,100,50,25,19,0,Gloucester
,Number of Arrests,,0,0,4,1,7,16,0,Gloucester
NJ0081000,MANTUA TWP PD,14772,,,,,,,,Gloucester
,Number of Offenses,,0,0,3,4,41,136,13,Gloucester
,"Rate Per 100,000",,0,0,20.3,27.1,277.6,920.7,88.0,Gloucester
,Number of Clearances,,0,0,2,4,6,38,7,Gloucester
,Percent Cleared,,0,0,67,100,15,28,54,Gloucester
,Number of Arrests,,0,0,1,3,14,29,1,Gloucester
NJ0081100,MONROE TWP PD,36498,,,,,,,,Gloucester
,Number of Offenses,,2,7,12,26,105,335,22,Gloucester
,"Rate Per 100,000",,5.5,19.2,32.9,71.2,287.7,917.9,60.3,Gloucester
,Number of Clearances,,1,5,6,23,24,165,10,Gloucester
,Percent Cleared,,50,71,50,88,23,49,45,Gloucester
,Number of Arrests,,0,9,6,16,39,102,9,Gloucester
NJ0081200,NATIONAL PARK PD,2934,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,0,2,31,2,Gloucester
,"Rate Per 100,000",,0,0,0,0,68.2,"1,056.6",68.2,Gloucester
,Number of Clearances,,0,0,0,0,0,5,1,Gloucester
,Percent Cleared,,0,0,0,0,0,16,50,Gloucester
,Number of Arrests,,0,0,1,0,1,3,1,Gloucester
NJ0081300,NEWFIELD PD,1535,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,0,2,11,1,Gloucester
,"Rate Per 100,000",,0,0,0,0,130.3,716.6,65.1,Gloucester
,Number of Clearances,,0,0,0,0,0,1,0,Gloucester
,Percent Cleared,,0,0,0,0,0,9,0,Gloucester
,Number of Arrests,,0,0,0,1,0,1,0,Gloucester
NJ0081400,PAULSBORO PD,5812,,,,,,,,Gloucester
,Number of Offenses,,2,0,8,6,59,128,9,Gloucester
,"Rate Per 100,000",,34.4,0,137.6,103.2,"1,015.1","2,202.3",154.9,Gloucester
,Number of Clearances,,2,0,1,2,6,23,0,Gloucester
,Percent Cleared,,100,0,13,33,10,18,0,Gloucester
,Number of Arrests,,0,0,1,2,6,18,0,Gloucester
NJ0081500,PITMAN PD,8696,,,,,,,,Gloucester
,Number of Offenses,,1,0,1,2,9,38,1,Gloucester
,"Rate Per 100,000",,11.5,0,11.5,23.0,103.5,437.0,11.5,Gloucester
,Number of Clearances,,1,0,1,1,1,7,2,Gloucester
,Percent Cleared,,100,0,100,50,11,18,200,Gloucester
,Number of Arrests,,1,0,1,1,1,2,0,Gloucester
NJ0082600,ROWAN UNIVERSITY OF NJ,0,,,,,,,,Gloucester
,Number of Offenses,,0,3,2,1,31,73,0,Gloucester
,"Rate Per 100,000",,0,0,0,0,0,0,0,Gloucester
,Number of Clearances,,0,0,2,0,2,18,0,Gloucester
,Percent Cleared,,0,0,100,0,6,25,0,Gloucester
,Number of Arrests,,0,0,5,0,3,14,0,Gloucester
NJ0081600,SOUTH HARRISON PD,3118,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,0,3,8,2,Gloucester
,"Rate Per 100,000",,0,0,0,0,96.2,256.6,64.1,Gloucester
,Number of Clearances,,0,0,0,0,0,0,0,Gloucester
,Percent Cleared,,0,0,0,0,0,0,0,Gloucester
,Number of Arrests,,0,0,0,0,0,0,0,Gloucester
NJ008SP,STATE POLICE GLOUCESTER COUNTY,,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,1,1,8,1,Gloucester
,"Rate Per 100,000",,0,0,0,0,0,0,0,Gloucester
,Number of Clearances,,0,0,0,1,1,6,0,Gloucester
,Percent Cleared,,0,0,0,100,100,75,0,Gloucester
,Number of Arrests,,0,0,1,0,0,2,2,Gloucester
NJ0081700,SWEDESBORO PD,2557,,,,,,,,Gloucester
,Number of Offenses,,0,0,1,0,1,12,1,Gloucester
,"Rate Per 100,000",,0,0,39.1,0,39.1,469.3,39.1,Gloucester
,Number of Clearances,,0,0,0,0,0,1,0,Gloucester
,Percent Cleared,,0,0,0,0,0,8,0,Gloucester
,Number of Arrests,,0,0,0,0,0,0,0,Gloucester
NJ0081800,WASHINGTON TWP PD,47024,,,,,,,,Gloucester
,Number of Offenses,,1,1,10,54,73,463,18,Gloucester
,"Rate Per 100,000",,2.1,2.1,21.3,114.8,155.2,984.6,38.3,Gloucester
,Number of Clearances,,1,1,1,45,11,153,4,Gloucester
,Percent Cleared,,100,100,10,83,15,33,22,Gloucester
,Number of Arrests,,3,3,5,28,30,109,3,Gloucester
NJ0081900,WENONAH PD,2201,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,3,7,4,2,Gloucester
,"Rate Per 100,000",,0,0,0,136.3,318.0,181.7,90.9,Gloucester
,Number of Clearances,,0,0,2,1,0,1,1,Gloucester
,Percent Cleared,,0,0,0,33,0,25,50,Gloucester
,Number of Arrests,,0,0,0,1,0,0,0,Gloucester
NJ0082000,WEST DEPTFORD TWP PD,20889,,,,,,,,Gloucester
,Number of Offenses,,0,2,4,13,73,203,14,Gloucester
,"Rate Per 100,000",,0,9.6,19.1,62.2,349.5,971.8,67.0,Gloucester
,Number of Clearances,,0,0,0,13,12,37,2,Gloucester
,Percent Cleared,,0,0,0,100,16,18,14,Gloucester
,Number of Arrests,,1,3,0,12,13,39,1,Gloucester
NJ0082100,WESTVILLE PD,4121,,,,,,,,Gloucester
,Number of Offenses,,0,0,2,3,22,84,12,Gloucester
,"Rate Per 100,000",,0,0,48.5,72.8,533.9,"2,038.3",291.2,Gloucester
,Number of Clearances,,0,0,0,3,0,0,1,Gloucester
,Percent Cleared,,0,0,0,100,0,0,8,Gloucester
,Number of Arrests,,0,0,0,3,0,0,1,Gloucester
NJ0082200,WOODBURY CITY PD,9746,,,,,,,,Gloucester
,Number of Offenses,,1,0,28,24,65,328,30,Gloucester
,"Rate Per 100,000",,10.3,0,287.3,246.3,666.9,"3,365.5",307.8,Gloucester
,Number of Clearances,,0,0,16,21,16,62,8,Gloucester
,Percent Cleared,,0,0,57,88,25,19,27,Gloucester
,Number of Arrests,,1,2,17,26,22,65,3,Gloucester
NJ0082300,WOODBURY HEIGHTS PD,2944,,,,,,,,Gloucester
,Number of Offenses,,0,0,0,0,4,43,5,Gloucester
,"Rate Per 100,000",,0,0,0,0,135.9,"1,460.6",169.8,Gloucester
,Number of Clearances,,0,0,0,0,0,2,0,Gloucester
,Percent Cleared,,0,0,0,0,0,5,0,Gloucester
,Number of Arrests,,0,0,0,1,0,3,0,Gloucester
NJ0082400,WOOLWICH TWP PD,12636,,,,,,,,Gloucester
NJ0090100,BAYONNE PD,66824,,,,,,,,Hudson
,Number of Offenses,,0,12,47,55,97,587,89,Hudson
,"Rate Per 100,000",,0,18.0,70.3,82.3,145.2,878.4,133.2,Hudson
,Number of Clearances,,0,6,29,41,34,116,4,Hudson
,Percent Cleared,,0,50,62,75,35,20,4,Hudson
,Number of Arrests,,0,8,39,46,34,135,6,Hudson
NJ0090200,EAST NEWARK PD,2740,,,,,,,,Hudson
,Number of Offenses,,0,0,1,0,4,30,10,Hudson
,"Rate Per 100,000",,0,0,36.5,0,146.0,"1,094.9",365.0,Hudson
,Number of Clearances,,0,0,0,0,1,0,0,Hudson
,Percent Cleared,,0,0,0,0,25,0,0,Hudson
,Number of Arrests,,0,0,0,0,0,1,0,Hudson
NJ0090300,GUTTENBERG PD,11602,,,,,,,,Hudson
,Number of Offenses,,1,5,10,12,20,74,5,Hudson
,"Rate Per 100,000",,8.6,43.1,86.2,103.4,172.4,637.8,43.1,Hudson
,Number of Clearances,,1,1,1,7,0,6,1,Hudson
,Percent Cleared,,100,20,10,58,0,8,20,Hudson
,Number of Arrests,,2,1,8,10,1,5,1,Hudson
NJ0090400,HARRISON PD,18058,,,,,,,,Hudson
,Number of Offenses,,1,5,11,24,45,259,69,Hudson
,"Rate Per 100,000",,5.5,27.7,60.9,132.9,249.2,"1,434.3",382.1,Hudson
,Number of Clearances,,0,0,3,16,11,22,0,Hudson
,Percent Cleared,,0,0,27,67,24,8,0,Hudson
,Number of Arrests,,0,0,3,15,11,22,0,Hudson
NJ0090500,HOBOKEN PD,55096,,,,,,,,Hudson
,Number of Offenses,,0,4,23,92,99,726,37,Hudson
,"Rate Per 100,000",,0,7.3,41.7,167.0,179.7,"1,317.7",67.2,Hudson
,Number of Clearances,,0,2,14,46,44,127,6,Hudson
,Percent Cleared,,0,50,61,50,44,17,16,Hudson
,Number of Arrests,,0,0,19,82,93,153,2,Hudson
NJ0098900,HUDSON CO PROSECUTOR' OFF - S/FORCE,0,,,,,,,,Hudson
,Number of Offenses,,0,0,0,0,0,0,0,Hudson
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hudson
,Number of Clearances,,0,0,0,0,0,0,0,Hudson
,Percent Cleared,,0,0,0,0,0,0,0,Hudson
,Number of Arrests,,0,0,0,0,0,0,1,Hudson
NJ0090000,HUDSON CO SHERIFF'S DEPT,0,,,,,,,,Hudson
,Number of Offenses,,0,0,0,0,0,0,0,Hudson
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hudson
,Number of Clearances,,0,0,0,0,0,0,0,Hudson
,Percent Cleared,,0,0,0,0,0,0,0,Hudson
,Number of Arrests,,0,0,0,0,0,0,0,Hudson
NJ0090600,JERSEY CITY PD,270175,,,,,,,,Hudson
,Number of Offenses,,17,89,458,669,988,3190,603,Hudson
,"Rate Per 100,000",,6.3,32.9,169.5,247.6,365.7,"1,180.7",223.2,Hudson
,Number of Clearances,,8,7,124,316,134,370,51,Hudson
,Percent Cleared,,47,8,27,47,14,12,8,Hudson
,Number of Arrests,,11,6,100,271,90,283,6,Hudson
NJ0090700,KEARNY PD,42339,,,,,,,,Hudson
,Number of Offenses,,0,1,10,27,61,547,69,Hudson
,"Rate Per 100,000",,0,2.4,23.6,63.8,144.1,"1,292.0",163.0,Hudson
,Number of Clearances,,0,0,4,21,6,198,2,Hudson
,Percent Cleared,,0,0,40,78,10,36,3,Hudson
,Number of Arrests,,0,0,7,21,11,251,4,Hudson
NJ0090800,NORTH BERGEN PD,63166,,,,,,,,Hudson
,Number of Offenses,,0,19,27,52,70,302,63,Hudson
,"Rate Per 100,000",,0,30.1,42.7,82.3,110.8,478.1,99.7,Hudson
,Number of Clearances,,0,5,17,45,8,100,7,Hudson
,Percent Cleared,,0,26,63,87,11,33,11,Hudson
,Number of Arrests,,0,3,23,52,10,117,11,Hudson
NJNYPOA00,PORT AUTHORITY OF NY AND NJ,0,,,,,,,,Hudson
,Number of Offenses,,0,0,9,24,25,585,39,Hudson
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hudson
,Number of Clearances,,0,0,9,29,12,180,13,Hudson
,Percent Cleared,,0,0,100,121,48,31,33,Hudson
,Number of Arrests,,0,0,8,31,22,118,23,Hudson
NJ0090900,SECAUCUS PD,20482,,,,,,,,Hudson
,Number of Offenses,,0,0,14,16,32,473,21,Hudson
,"Rate Per 100,000",,0,0,68.4,78.1,156.2,"2,309.3",102.5,Hudson
,Number of Clearances,,0,0,14,12,5,75,1,Hudson
,Percent Cleared,,0,0,100,75,16,16,5,Hudson
,Number of Arrests,,0,0,11,6,6,83,0,Hudson
NJ009SP,STATE POLICE HUDSON COUNTY,,,,,,,,,Hudson
,Number of Offenses,,0,0,0,2,0,4,3,Hudson
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hudson
,Number of Clearances,,0,0,0,1,0,0,0,Hudson
